number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
22,0.8217602830600935,2025-12-24 14:49:02.637526,2025-12-24 14:49:11.558943,0 days 00:00:08.921417,2.4958960562916434e-06,0.9042205041079201,40,7.868424681889634,0.0011843665985747007,0.024560068920463713,10,6,1359,0.6299664868290461,0.9227612825058489,0.8936879481608397,0.41856640577316284,COMPLETE
23,0.8130590339887679,2025-12-24 14:49:11.559326,2025-12-24 14:49:17.438247,0 days 00:00:05.878921,4.323680982471239e-06,0.7735963753543926,37,7.611763648765394,2.6452541703693407e-05,0.025028318638454772,12,61,1387,0.6192063069464059,0.9181186953351917,0.887745617312562,0.43740320205688477,COMPLETE
24,0.8046699595863899,2025-12-24 14:49:17.438445,2025-12-24 14:49:19.886336,0 days 00:00:02.447891,1.3218338085595656e-07,0.9004522157924022,22,9.404589323659877,0.039102504514935285,0.07150640733930304,10,107,1434,0.5543863038700608,0.9125569265452802,0.8783099515110463,0.4572239816188812,COMPLETE
25,0.7984661269701008,2025-12-24 14:49:19.886547,2025-12-24 14:49:27.342899,0 days 00:00:07.456352,2.386306545117478e-06,0.9967676978031088,69,9.995852671348764,0.00028293816512784607,0.008081280965729652,8,164,1291,0.6298370359904534,0.9037080033635804,0.8638556332314513,0.4008016884326935,COMPLETE
26,0.8136619109376756,2025-12-24 14:49:27.343234,2025-12-24 14:49:30.678439,0 days 00:00:03.335205,4.157208947462352e-05,0.8333418607244876,43,8.136368756490771,0.004572253787945321,0.0259603425113781,13,39,1489,0.7327452907953239,0.9159573555039713,0.8847990000973607,0.3949055075645447,COMPLETE
27,0.8033435987676485,2025-12-24 14:49:30.678658,2025-12-24 14:49:38.165197,0 days 00:00:07.486539,0.0004134260703564823,0.9481372058341169,88,7.325884220376578,7.050918674208023e-06,0.009191739878322419,12,157,1174,0.7826646555286938,0.9078440828710657,0.8704045960904272,0.43005967140197754,COMPLETE
28,0.8151111111106122,2025-12-24 14:49:38.165776,2025-12-24 14:49:41.071057,0 days 00:00:02.905281,8.6098312061781e-08,0.8780625056320621,20,9.011162595326647,0.00013180000229092809,0.0321289929842863,9,1,1305,0.6644732943486212,0.9215264595877823,0.8917607057235606,0.4254058301448822,COMPLETE
29,0.7327298713668252,2025-12-24 14:49:41.071310,2025-12-24 14:49:45.284032,0 days 00:00:04.212722,7.462154022443601e-06,0.8200464562161469,35,5.921713848580661,0.000478854166473966,0.0034673221604622135,9,358,909,0.5198032266794814,0.8615009569480185,0.797466874480431,0.48634111881256104,COMPLETE
30,0.8195364238405599,2025-12-24 14:49:45.284292,2025-12-24 14:49:55.149448,0 days 00:00:09.865156,3.706584471740519e-07,0.7276792950654231,49,2.4204414108225727,0.12415224394636806,0.016282459368143525,10,39,1165,0.5843980958391803,0.9245823536627015,0.8979942865083876,0.3283306062221527,COMPLETE
31,0.8215982721377291,2025-12-24 14:49:55.149790,2025-12-24 14:50:04.227856,0 days 00:00:09.078066,4.922071883502306e-07,0.7239091756331886,50,2.834257706459616,0.10278654153300605,0.01826888763586832,10,42,1338,0.5812770451540248,0.9233495020174334,0.896607104667738,0.3887973725795746,COMPLETE
32,0.8174807197938445,2025-12-24 14:50:04.228121,2025-12-24 14:50:13.211841,0 days 00:00:08.983720,1.6216214876409646e-06,0.712793849336143,60,3.0097516376995594,0.4376452441923249,0.01973152879899389,10,49,1196,0.5069865160462348,0.9217953462938254,0.8930147447360736,0.3826577663421631,COMPLETE
