number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
31,0.4468863400992535,2025-12-22 01:19:39.090989,2025-12-22 01:19:39.309855,0 days 00:00:00.218866,5.5776285460988196e-08,0.6028130138553027,164,1.9939784985595166,9.825946639501877e-05,0.03774798551668752,14,8.841824726203306,606,0.9260358061990538,0.895285964012146,0.1613970398902893,1.3658941984176636,0.4468863400992535,COMPLETE
32,0.5146317483126386,2025-12-22 01:19:39.309956,2025-12-22 01:19:39.434083,0 days 00:00:00.124127,1.0647728089872769e-07,0.5318482402863727,138,1.5587299429826966,0.00012365896794906963,0.2267025167617891,15,26.324678553305446,407,0.9335588687875921,0.8113278150558472,0.16974198818206787,1.3590811491012573,0.5146317483126386,COMPLETE
33,0.41651794111257634,2025-12-22 01:19:39.434192,2025-12-22 01:19:39.613624,0 days 00:00:00.179432,1.2676747528076448e-08,0.6150208216759304,159,3.3986843669495066,0.002987584348032817,0.030819489388285763,13,11.329610141470551,549,0.9997939249333188,0.9323116540908813,0.09146332740783691,1.421707034111023,0.41651794111257634,COMPLETE
34,0.5851965765692524,2025-12-22 01:19:39.613728,2025-12-22 01:19:39.827038,0 days 00:00:00.213310,8.251973373300275e-10,0.6816058037169627,198,1.4775929636229135,0.018399712190100382,0.1284663427095461,16,90.52092826882352,874,0.9052232716090902,0.8552262187004089,0.22677350044250488,1.3115723133087158,0.5851965765692524,COMPLETE
35,0.0,2025-12-22 01:19:39.827156,2025-12-22 01:19:39.999539,0 days 00:00:00.172383,9.293896998408424e-10,0.6986520970821686,190,1.1582459265102554,0.028586246535808997,0.1450940569727782,16,384.1943053195227,958,0.8903831836336962,1.1216654777526855,-0.020568251609802246,1.5068148374557495,0.0,COMPLETE
36,0.5160365003857597,2025-12-22 01:19:39.999634,2025-12-22 01:19:40.816745,0 days 00:00:00.817111,4.196207159222306e-05,0.7574978119373459,197,0.41771793540253466,1.190893454788415,0.0793771819893496,15,162.62445987491978,1145,0.9633606844510002,0.8624917268753052,0.16547322273254395,1.3625706434249878,0.5160365003857597,COMPLETE
37,0.45922832654874507,2025-12-22 01:19:40.816887,2025-12-22 01:19:41.030271,0 days 00:00:00.213384,1.3082923589505235e-09,0.47295005949473845,177,1.29227596899391,0.007165071070830745,0.28074993975437357,16,68.23289928057406,769,0.8516247754185198,0.8901020884513855,0.19178354740142822,1.3409194946289062,0.45922832654874507,COMPLETE
38,0.34970724433023836,2025-12-22 01:19:41.030373,2025-12-22 01:19:41.422269,0 days 00:00:00.391896,4.0700472315099376e-10,0.8251234366180832,103,2.8249873376485386,2.9918726796115047,0.001991290969689478,4,1.294080813250698,335,0.7888525358067683,1.0238620042800903,0.05858433246612549,1.4472033977508545,0.34970724433023836,COMPLETE
39,0.0,2025-12-22 01:19:41.422373,2025-12-22 01:19:41.532787,0 days 00:00:00.110414,1.1882226757908407e-06,0.6738158453738107,126,2.093883911399064,0.06862529010509805,0.13194301921007023,11,487.3627960194938,893,0.9023476340678125,1.122175693511963,-0.02076852321624756,1.5069626569747925,0.0,COMPLETE
40,0.42267502495663806,2025-12-22 01:19:41.532882,2025-12-22 01:19:42.423281,0 days 00:00:00.890399,3.031601054426423e-09,0.4413003894064266,174,3.817568548680165,0.0013205489210162571,0.0053079733617113645,13,0.34280287208530646,1077,0.507097510319966,0.9437243342399597,0.14461535215377808,1.3794933557510376,0.42267502495663806,COMPLETE
41,0.30082517748462206,2025-12-22 01:19:42.423396,2025-12-22 01:19:42.635556,0 days 00:00:00.212160,1.0513548706945067e-08,0.5273287899406193,154,1.978296615558182,8.52429267462715e-05,0.04808513586474041,14,3.5285042436592486,668,0.9401865413734922,1.0069620609283447,0.002772688865661621,1.4894843101501465,0.30082517748462206,COMPLETE
42,0.6321747911934152,2025-12-22 01:19:42.635684,2025-12-22 01:19:42.923419,0 days 00:00:00.287735,1.2349970898322474e-07,0.63307218072783,164,0.787365071288028,0.00027890813126360103,0.09957962413064442,15,77.84044463128446,550,0.9787970885114934,0.80106520652771,0.2759360074996948,1.2691919803619385,0.6321747911934152,COMPLETE
43,0.5681941185359946,2025-12-22 01:19:42.923531,2025-12-22 01:19:43.279693,0 days 00:00:00.356162,2.822915786857306e-07,0.727949357751828,187,0.8606905779230689,0.010088640507876893,0.09081313556775353,15,90.81508273214395,472,0.9790072231977488,0.8544748425483704,0.24854350090026855,1.292976975440979,0.5681941185359946,COMPLETE
44,0.5241774518118705,2025-12-22 01:19:43.279794,2025-12-22 01:19:43.635915,0 days 00:00:00.356121,2.1389006280422785e-07,0.6441042591056172,188,0.7915412575508634,0.009240861593113207,0.1578471970381428,15,97.38061910953074,495,0.9686189314651305,0.8659680485725403,0.19867724180221558,1.3351885080337524,0.5241774518118705,COMPLETE
45,0.4814366305000397,2025-12-22 01:19:43.636021,2025-12-22 01:19:43.924116,0 days 00:00:00.288095,1.8889829944926594e-05,0.7306285523425801,185,1.1204381335560958,0.17306413972268905,0.0931402166447118,16,211.7985730609978,366,0.911607718660671,0.8877615332603455,0.08233946561813354,1.4288278818130493,0.4814366305000397,COMPLETE
46,0.518631160097289,2025-12-22 01:19:43.924230,2025-12-22 01:19:44.082755,0 days 00:00:00.158525,0.00027717396965034713,0.6761451439749909,173,5.532592229329497,0.024391087922557435,0.11745107570700372,15,41.28292800157262,144,0.6026982122891849,0.8895521759986877,0.22332191467285156,1.314496397972107,0.518631160097289,COMPLETE
47,0.3842884234798353,2025-12-22 01:19:44.082858,2025-12-22 01:19:44.264976,0 days 00:00:00.182118,1.3111428885899163e-06,0.5812079271207937,196,9.672210210252238,0.00044082179212319396,0.19019708471611488,13,75.03833273188137,225,0.8064192058668078,1.0010093450546265,0.0848684310913086,1.4268577098846436,0.3842884234798353,COMPLETE
48,0.559706110715348,2025-12-22 01:19:44.265077,2025-12-22 01:19:44.584295,0 days 00:00:00.319218,0.0028957484817280117,0.6344238137834095,180,0.46122376535145104,1.1544331711110154,0.090424327025289,16,27.66645652542534,529,0.7321511545470726,0.8173441290855408,0.2661541700363159,1.2777365446090698,0.559706110715348,COMPLETE
49,0.5552373464733252,2025-12-22 01:19:44.584398,2025-12-22 01:19:45.315572,0 days 00:00:00.731174,2.327551822905483e-08,0.5358539069342559,200,2.485862987260873,0.004016234472315515,0.0013324523887198268,15,18.969082391277464,445,0.9745978922076136,0.9606865644454956,0.11366313695907593,1.4042301177978516,0.5552373464733252,COMPLETE
50,0.3620134706213936,2025-12-22 01:19:45.315790,2025-12-22 01:19:46.279622,0 days 00:00:00.963832,1.1655889557712928e-07,0.7449846131650438,150,8.531149705791604,9.441237015144052,0.0028539955639946134,14,139.04964174666176,1542,0.8525782576641091,1.0573809146881104,0.03834027051925659,1.4626808166503906,0.3620134706213936,COMPLETE
51,0.5792073747892634,2025-12-22 01:19:46.279748,2025-12-22 01:19:46.632626,0 days 00:00:00.352878,0.029152742482825157,0.6323195278706758,178,0.38209289706756555,0.456948703042329,0.06096372448887766,16,24.94233015020484,521,0.7325511604795595,0.8044015765190125,0.2768493890762329,1.2683912515640259,0.5792073747892634,COMPLETE
52,0.5904156436832715,2025-12-22 01:19:46.632738,2025-12-22 01:19:47.060521,0 days 00:00:00.427783,0.528179712148495,0.7013633770256813,191,0.006382958713031073,0.04121215926262231,0.06041330002232088,16,43.61873178830421,729,0.7702392209106348,0.8236861824989319,0.2710028886795044,1.2735083103179932,0.5904156436832715,COMPLETE
53,0.5676652706967019,2025-12-22 01:19:47.060620,2025-12-22 01:19:47.423501,0 days 00:00:00.362881,0.1635295183100158,0.7053636383167253,189,0.28862030051670606,0.5919434802790037,0.06998869018266805,16,42.83709451371331,716,0.6795840937366316,0.8455459475517273,0.277607798576355,1.267725944519043,0.5676652706967019,COMPLETE
54,0.5076476515349804,2025-12-22 01:19:47.423601,2025-12-22 01:19:47.933840,0 days 00:00:00.510239,0.10512662231264482,0.6953828456908072,191,0.09804709674388702,0.7531147966677728,0.06488465544808604,16,46.12402541716043,719,0.6738532586546933,0.8649283647537231,0.2588830590248108,1.2840508222579956,0.5076476515349804,COMPLETE
55,0.0,2025-12-22 01:19:47.933943,2025-12-22 01:19:48.122902,0 days 00:00:00.188959,2.291402136164279,0.7730839185097337,181,0.39218177829159706,6.3428436590057125,0.06245840608721113,16,215.5530691838404,877,0.7624735866009614,1.1222608089447021,-0.020801782608032227,1.50698721408844,0.0,COMPLETE
56,0.546094889451554,2025-12-22 01:19:48.122998,2025-12-22 01:19:48.414701,0 days 00:00:00.291703,0.019295470934527825,0.8362991143546361,191,0.9414457975359725,0.07784330579699317,0.11313280878039496,16,81.56399902361801,951,0.6994920221720667,0.8474266529083252,0.18816161155700684,1.3439207077026367,0.546094889451554,COMPLETE
57,0.35884639605301405,2025-12-22 01:19:48.414802,2025-12-22 01:19:48.874337,0 days 00:00:00.459535,0.37945400454334216,0.7027504224375826,172,0.0043117865368047514,0.4783410993654829,0.07508612411864656,15,5.777880970914669,749,0.7486529348367486,0.9547469615936279,0.062207698822021484,1.4444156885147095,0.35884639605301405,COMPLETE
58,0.5790090568495286,2025-12-22 01:19:48.874434,2025-12-22 01:19:49.189120,0 days 00:00:00.314686,0.002092382953916446,0.6577868212923969,185,1.5701525640484646,0.0412672903331475,0.10708886631479098,16,127.56780154613526,596,0.61792922404921,0.8391817808151245,0.13534599542617798,1.3869476318359375,0.5790090568495286,COMPLETE
59,0.0,2025-12-22 01:19:49.189232,2025-12-22 01:19:49.329808,0 days 00:00:00.140576,0.002058015136804659,0.66045408967445,164,1.398036578274299,50.27251660523148,0.10427953614089784,15,286.237721565863,586,0.5749996275277177,1.1221449375152588,-0.020756125450134277,1.5069535970687866,0.0,COMPLETE
60,0.478372618331138,2025-12-22 01:19:49.329904,2025-12-22 01:19:49.527228,0 days 00:00:00.197324,6.120924724682785,0.7996668531680896,183,1.6127421463444744,0.04679618257826438,0.1710699405976291,14,132.3151112544361,661,0.6294825004636457,0.8998181223869324,0.09068918228149414,1.422312617301941,0.478372618331138,COMPLETE
61,0.581934246460616,2025-12-22 01:19:49.527327,2025-12-22 01:19:49.947284,0 days 00:00:00.419957,0.021538808524963173,0.7398903250564162,200,0.7942801103483783,0.11703760098950439,0.046995578969265796,16,31.94060496376168,836,0.6804230250385516,0.8155824542045593,0.276832640171051,1.2684059143066406,0.581934246460616,COMPLETE
62,0.5264316657268552,2025-12-22 01:19:49.947387,2025-12-22 01:19:50.551582,0 days 00:00:00.604195,0.01900738899519918,0.7346931687194856,197,0.8281507052040546,0.1700772789367853,0.05240132279562021,16,91.25257783935037,825,0.6336193905965438,0.8429551720619202,0.13925212621688843,1.3838112354278564,0.5264316657268552,COMPLETE
63,0.5985632057073734,2025-12-22 01:19:50.551750,2025-12-22 01:19:50.974581,0 days 00:00:00.422831,0.00094442551167928,0.7936954840594953,182,0.5633168565754704,0.019003832566009474,0.036158793281034336,16,29.79358426379181,843,0.721684075236404,0.7863106727600098,0.2685757279396057,1.275626540184021,0.5985632057073734,COMPLETE
64,0.639962075626999,2025-12-22 01:19:50.974699,2025-12-22 01:19:51.414803,0 days 00:00:00.440104,0.0012271639887239203,0.7930291560884012,177,0.5315519012948866,2.331791953716664,0.034235310145365884,16,30.600314289381846,855,0.7249553157223052,0.7801374197006226,0.2834089398384094,1.2626254558563232,0.639962075626999,COMPLETE
65,0.5848594360717033,2025-12-22 01:19:51.414918,2025-12-22 01:19:52.202578,0 days 00:00:00.787660,0.000711034535972673,0.925509976261506,177,0.6300765557990295,15.471757149220894,0.03276198956110523,16,15.718309425747348,861,0.7185383763428371,0.7913249731063843,0.2493222951889038,1.2923067808151245,0.5848594360717033,COMPLETE
66,0.5466501796828114,2025-12-22 01:19:52.202701,2025-12-22 01:19:53.116363,0 days 00:00:00.913662,0.00045680285108996496,0.9112036166445054,168,0.6082887321823456,80.41515642938188,0.028261672303955633,15,15.571171154438446,994,0.6926198739855178,0.8186708092689514,0.20138448476791382,1.3329311609268188,0.5466501796828114,COMPLETE
67,0.31506238904469785,2025-12-22 01:19:53.116495,2025-12-22 01:19:53.441626,0 days 00:00:00.325131,0.0066863280558531486,0.8706291868434678,200,6.557304967412194,14.375292994160915,0.036101715616359456,14,4.557792055733441,1184,0.7279423384289013,1.015761375427246,0.0512959361076355,1.4527946710586548,0.31506238904469785,COMPLETE
68,0.6318376506958662,2025-12-22 01:19:53.441739,2025-12-22 01:19:54.205766,0 days 00:00:00.764027,0.00011506380553267873,0.9184458506261861,195,1.1418123814584609,7.150415494700831,0.02152317950156831,16,33.02876269848321,863,0.6578063210783949,0.795793354511261,0.2932198643684387,1.2539523839950562,0.6318376506958662,COMPLETE
69,0.5911857783492414,2025-12-22 01:19:54.205909,2025-12-22 01:19:55.056294,0 days 00:00:00.850385,5.5705773221939286e-05,0.9487934608577465,193,1.0924386379161564,4.86093345425294,0.018843946330758865,15,57.2591215919356,1265,0.6594056600564059,0.8263102769851685,0.27054363489151,1.273909330368042,0.5911857783492414,COMPLETE
70,0.5539218374730849,2025-12-22 01:19:55.056421,2025-12-22 01:19:55.638019,0 days 00:00:00.581598,4.7063551120150296e-05,0.9701316679792027,195,2.2461929115132593,2.535454179935569,0.02288210681566478,13,50.65435878354743,1386,0.7549103061738291,0.844848096370697,0.2571103572845459,1.285585641860962,0.5539218374730849,COMPLETE
71,0.5037507040191928,2025-12-22 01:19:55.638137,2025-12-22 01:19:56.266649,0 days 00:00:00.628512,0.0010506531276832732,0.9256019144421173,178,1.0086062635561261,21.212420884025253,0.017856257310348747,15,0.0980040578418049,1304,0.7120553925963922,0.838806688785553,0.19436508417129517,1.3387762308120728,0.5037507040191928,COMPLETE
72,0.609665705033523,2025-12-22 01:19:56.266766,2025-12-22 01:19:56.795345,0 days 00:00:00.528579,0.0001788560852729905,0.9975149321626735,168,1.2463781594420058,2.352115399497843,0.025266261688128337,16,59.95688253788397,1042,0.6576522718392315,0.829614520072937,0.25557005405426025,1.286917805671692,0.609665705033523,COMPLETE
73,0.5572370523656505,2025-12-22 01:19:56.795455,2025-12-22 01:19:57.101856,0 days 00:00:00.306401,5.316965957627041e-05,0.9931416866561461,22,1.7841205936568096,4.643149879923726,0.025112326265928856,15,63.47132992712714,1033,0.6563773691321496,0.8669437170028687,0.20088046789169312,1.333351731300354,0.5572370523656505,COMPLETE
74,0.6377937994858993,2025-12-22 01:19:57.101961,2025-12-22 01:19:57.999504,0 days 00:00:00.897543,0.00016871419486925806,0.87379338718119,192,1.2452216227543147,1.6154841749567364,0.01332606599270362,16,31.014344629667175,1223,0.6459230115214075,0.7881011366844177,0.2938377261161804,1.253404140472412,0.6377937994858993,COMPLETE
75,0.4453559866643005,2025-12-22 01:19:57.999621,2025-12-22 01:19:58.546153,0 days 00:00:00.546532,0.00019467419768265032,0.9498568017959864,167,1.2632333052189253,1.650519896818417,0.012690807133401847,14,7.363960521328582,1213,0.657770231016401,0.8582931756973267,0.17903727293014526,1.3514518737792969,0.4453559866643005,COMPLETE
76,0.6631090844930382,2025-12-22 01:19:58.546265,2025-12-22 01:19:59.758071,0 days 00:00:01.211806,1.6878982851436895e-05,0.8835563908811471,161,0.15714168660985894,3.5721226851096377,0.011714932784977148,9,29.27400296293322,1287,0.596327109322572,0.7696574926376343,0.29559648036956787,1.2518422603607178,0.6631090844930382,COMPLETE
77,0.5006139752723885,2025-12-22 01:19:59.758195,2025-12-22 01:20:00.902756,0 days 00:00:01.144561,0.00010559921317629784,0.8805021288864443,159,1.1267172341998553,97.46706966480771,0.01190181033582769,9,14.052905737909466,1314,0.5997883721500461,0.8713331818580627,0.16202032566070557,1.3653864860534668,0.5006139752723885,COMPLETE
78,0.6163258825096145,2025-12-22 01:20:00.902936,2025-12-22 01:20:01.622327,0 days 00:00:00.719391,1.1427607152002246e-05,0.8482398504901367,154,1.821505298996303,5.0510558479454435,0.017317107779162587,8,32.85766696967779,1516,0.5590494265500583,0.8070707321166992,0.29931342601776123,1.24853515625,0.6163258825096145,COMPLETE
79,0.49993969427729035,2025-12-22 01:20:01.622481,2025-12-22 01:20:02.905596,0 days 00:00:01.283115,1.3855725825708917e-05,0.8467002511977642,139,1.7808123643146128,26.4915412664304,0.00871438030964793,8,0.0016114816504930979,1547,0.5774777242438545,0.8529390096664429,0.17429518699645996,1.3553494215011597,0.49993969427729035,COMPLETE
