number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
27,0.5417252841793987,2025-12-22 01:25:22.423725,2025-12-22 01:25:22.507356,0 days 00:00:00.083631,0.03227100685761214,0.004975482463282995,0.00025975259735242976,poly,1.077137774828242,-0.0037452510013116225,1.4943441105374768,0.5417252841793987,COMPLETE
28,0.6893862115078904,2025-12-22 01:25:22.507441,2025-12-22 01:25:22.595814,0 days 00:00:00.088373,0.13575428778108145,0.00020986492970952286,0.0024643470458111773,poly,0.7692105556642784,0.2017706812503295,1.3326088776715896,0.6893862115078904,COMPLETE
29,0.5470203731703162,2025-12-22 01:25:22.595899,2025-12-22 01:25:22.681571,0 days 00:00:00.085672,2.741985268547264,0.001149873456216035,3.0052936376175772e-05,sigmoid,0.9400155623573373,0.06373638965479023,1.4432379380552744,0.5470203731703162,COMPLETE
30,0.20016890717225796,2025-12-22 01:25:22.681660,2025-12-22 01:25:23.244405,0 days 00:00:00.562745,0.4231443390150213,0.014871896454784851,,linear,1.1701081774956081,-0.3386129625119638,1.7257042855846358,0.20016890717225796,COMPLETE
31,0.725612288499435,2025-12-22 01:25:23.244493,2025-12-22 01:25:23.329903,0 days 00:00:00.085410,0.06051532489763982,0.0005130598962115254,0.0016474675125529217,poly,0.7851187287703814,0.21375052304496323,1.3225711632163495,0.725612288499435,COMPLETE
32,0.6995301741253219,2025-12-22 01:25:23.329986,2025-12-22 01:25:23.414918,0 days 00:00:00.084932,0.008285562613133598,0.0005993621614360179,0.001900284998229798,poly,0.8449718256526328,0.18235760293531078,1.348716174782921,0.6995301741253219,COMPLETE
33,0.4631880747454486,2025-12-22 01:25:23.415010,2025-12-22 01:25:23.517813,0 days 00:00:00.102803,8.603657301034648,0.0002571322204692119,0.019838437516401256,poly,0.9265022687602364,0.08708037596223195,1.4251321444758434,0.4631880747454486,COMPLETE
34,0.6559960810545524,2025-12-22 01:25:23.517902,2025-12-22 01:25:23.548205,0 days 00:00:00.030303,0.019233349300095324,0.4616908643180435,0.0003781034394933901,poly,1.1158480756039744,-0.014372499474632594,1.502234037006513,0.6559960810545524,COMPLETE
35,0.5417252841793987,2025-12-22 01:25:23.548294,2025-12-22 01:25:23.632071,0 days 00:00:00.083777,0.06886034873170718,0.0010553582720284735,6.21136821590335e-05,poly,1.0775044325663294,-0.005809870213293378,1.4958801908631154,0.5417252841793987,COMPLETE
36,0.6540591758431431,2025-12-22 01:25:23.632163,2025-12-22 01:25:23.746317,0 days 00:00:00.114154,84.59787576234628,0.0039017139694265466,7.973514307714646e-06,rbf,0.7859504559578002,0.11707339385276927,1.4015260248489863,0.6540591758431431,COMPLETE
37,-0.09584706027379683,2025-12-22 01:25:23.746403,2025-12-22 01:25:23.827518,0 days 00:00:00.081115,0.2747447742391525,0.020414625476005817,1.10169386860807e-06,sigmoid,1.0813410415604967,-0.007205063749379237,1.4969173248107288,-0.09584706027379683,COMPLETE
38,0.6525585700991503,2025-12-22 01:25:23.827604,2025-12-22 01:25:23.920529,0 days 00:00:00.092925,1.3892920339377188,0.0016153727412919969,0.0018828048350787306,poly,0.8003451768594314,0.1888551450436814,1.343346578273396,0.6525585700991503,COMPLETE
39,0.45750957107104406,2025-12-22 01:25:23.920614,2025-12-22 01:25:23.995791,0 days 00:00:00.075177,0.0035479529683444264,0.15722158844533507,0.004748129456977369,rbf,1.067828067487533,-0.002412742463743678,1.4933518828886678,0.45750957107104406,COMPLETE
40,0.5074559441932368,2025-12-22 01:25:23.995878,2025-12-22 01:25:24.081474,0 days 00:00:00.085596,25.586783299456947,0.0006729959011778701,2.8703561535619807e-06,sigmoid,0.9575245562901542,0.05417298263753312,1.4505901436330197,0.5074559441932368,COMPLETE
41,0.5619867670222974,2025-12-22 01:25:24.081561,2025-12-22 01:25:24.165941,0 days 00:00:00.084380,0.029325986328657967,0.00036325572811315196,0.00044271553529721903,poly,1.0670720318929228,0.005897678791386918,1.487148743354342,0.5619867670222974,COMPLETE
42,0.7021016967438823,2025-12-22 01:25:24.166027,2025-12-22 01:25:24.251123,0 days 00:00:00.085096,0.0774271961955004,0.0001448740210538913,0.000981940178891192,poly,0.8297807253645646,0.19291994914567068,1.3399764658487956,0.7021016967438823,COMPLETE
43,0.5417252841793987,2025-12-22 01:25:24.251210,2025-12-22 01:25:24.334940,0 days 00:00:00.083730,0.07233101034529761,0.000146326195277437,0.0001271283737712804,poly,1.0766571037180919,-0.005121306804745984,1.4953680738436799,0.5417252841793987,COMPLETE
44,0.5417252841793987,2025-12-22 01:25:24.335025,2025-12-22 01:25:24.418710,0 days 00:00:00.083685,0.004779095024847634,0.00014862439850194052,1.492577918304007e-05,poly,1.0771920672637958,-0.005791365507109347,1.4958664303346318,0.5417252841793987,COMPLETE
45,0.6371856244707129,2025-12-22 01:25:24.418795,2025-12-22 01:25:24.513537,0 days 00:00:00.094742,6.295690461068101,0.0004524870230740697,0.001280982019598013,poly,0.8054309671596847,0.18612164002215537,1.3456081695041218,0.6371856244707129,COMPLETE
46,0.23464752261789004,2025-12-22 01:25:24.513622,2025-12-22 01:25:24.628251,0 days 00:00:00.114629,0.012759589206462727,0.0029065711058252385,0.1010181945595331,rbf,1.0817788389373593,-0.00698941598130709,1.49675706739533,0.23464752261789004,COMPLETE
47,0.4631153581675459,2025-12-22 01:25:24.628335,2025-12-22 01:25:24.730026,0 days 00:00:00.101691,0.04022095094741342,0.00015813272139201907,0.02493090307120499,poly,0.9265057743475114,0.08711855141992819,1.4251023468686743,0.4631153581675459,COMPLETE
48,0.6463578291834443,2025-12-22 01:25:24.730119,2025-12-22 01:25:24.817785,0 days 00:00:00.087666,0.0023385936036345737,0.007527927576164647,,linear,0.7933685245007797,0.12384008651442258,1.3961450926319465,0.6463578291834443,COMPLETE
49,0.4745450820942577,2025-12-22 01:25:24.817875,2025-12-22 01:25:24.918960,0 days 00:00:00.101085,0.8119136613691557,0.00027863857401176336,0.004838007318869225,poly,0.9194201459741272,0.0904811821810464,1.422475218174283,0.4745450820942577,COMPLETE
50,0.6728861589219605,2025-12-22 01:25:24.919045,2025-12-22 01:25:25.003302,0 days 00:00:00.084257,0.10850478043073901,0.0008293170500625915,0.0004401601408644713,poly,1.0268090805019314,0.04411950171410339,1.4582791457532172,0.6728861589219605,COMPLETE
51,0.697794892152643,2025-12-22 01:25:25.003386,2025-12-22 01:25:25.089023,0 days 00:00:00.085637,0.07033761078076467,0.00046881762030587227,0.0007355385012546529,poly,0.9206142807997234,0.13088737837136166,1.3905188898332894,0.697794892152643,COMPLETE
52,0.5455660416122614,2025-12-22 01:25:25.089116,2025-12-22 01:25:25.177694,0 days 00:00:00.088578,0.2115620574685297,0.00034084683936438383,0.00019476647474919135,poly,1.071412731556383,0.0012515573605940133,1.4906199249090242,0.5455660416122614,COMPLETE
53,0.5417252841793987,2025-12-22 01:25:25.177913,2025-12-22 01:25:25.262177,0 days 00:00:00.084264,0.04755347549893198,0.0014128525450327208,6.32883363267648e-05,poly,1.0776669288511775,-0.005866757104481479,1.4959224924814336,0.5417252841793987,COMPLETE
54,0.6860346383263733,2025-12-22 01:25:25.262263,2025-12-22 01:25:25.330407,0 days 00:00:00.068144,0.4784873554909682,0.07165546845484848,0.0015661500513697907,poly,0.7701652357861455,0.2012328314184083,1.3330577604353568,0.6860346383263733,COMPLETE
55,0.4631153581675459,2025-12-22 01:25:25.330492,2025-12-22 01:25:25.432580,0 days 00:00:00.102088,235.50300106189485,0.00012119896740289537,0.01112377875261564,poly,0.9265286540595992,0.08714183892605654,1.4250841696500771,0.4631153581675459,COMPLETE
