number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_huber_delta,params_layers,params_loss,params_lr,params_nhead,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
20,0.26179619311401064,2025-12-21 16:11:16.269995,2025-12-21 16:11:37.835125,0 days 00:00:21.565130,32,384,0.003993926816779153,1536,,1,mse,0.00027197890058923175,8,1.5188656163234816e-05,0.826570451259613,-0.08885812759399414,1.1694791316986084,0.26179619311401064,PRUNED
21,0.16535939605043493,2025-12-21 16:11:37.835301,2025-12-21 16:11:59.482310,0 days 00:00:21.647009,32,128,0.15754017076940588,1024,,2,mse,0.00014985302855130837,8,4.258457809075264e-08,0.8255954384803772,0.05046045780181885,1.0921024084091187,0.16535939605043493,PRUNED
22,0.21796119173051823,2025-12-21 16:11:59.482490,2025-12-21 16:12:21.128358,0 days 00:00:21.645868,32,128,0.18795623001259643,1024,,2,mse,0.0001864158666044983,8,1.916979698936921e-09,0.8075496554374695,0.022087574005126953,1.1082987785339355,0.21796119173051823,PRUNED
23,0.3593006505142683,2025-12-21 16:12:21.128526,2025-12-21 16:13:34.204810,0 days 00:01:13.076284,32,128,0.10004637224139715,1024,,1,mse,0.0007135767543866695,8,4.716313920360523e-09,0.8261443376541138,0.06199300289154053,1.0854501724243164,0.3593006505142683,PRUNED
24,0.27284675556639876,2025-12-21 16:13:34.204986,2025-12-21 16:13:55.236381,0 days 00:00:21.031395,32,128,0.12863756082305955,1024,,2,mse,0.0003373734251749905,8,8.145264219017575e-08,0.8854040503501892,-0.0036783218383789062,1.1228044033050537,0.27284675556639876,PRUNED
25,0.12693676411134808,2025-12-21 16:13:55.236557,2025-12-21 16:14:18.375063,0 days 00:00:23.138506,16,128,0.21582291294322284,1024,,1,mse,2.955911648726217e-05,8,1.2087345691117394e-06,0.8364933133125305,0.011907398700714111,1.1140525341033936,0.12693676411134808,PRUNED
26,0.2783732044523422,2025-12-21 16:14:18.375234,2025-12-21 16:14:39.809130,0 days 00:00:21.433896,32,256,0.06484433969619474,256,2.41273296960521,3,huber,0.00013341482070188603,4,5.975483873565101e-10,0.8235174417495728,0.04815828800201416,1.0934255123138428,0.2783732044523422,PRUNED
27,0.2699503195285798,2025-12-21 16:14:39.809301,2025-12-21 16:15:01.262829,0 days 00:00:21.453528,32,384,0.2835383739498546,512,,2,mse,0.000959283074724536,8,2.1142308296472176e-08,1.1827095746994019,-0.5300745964050293,1.3863189220428467,0.2699503195285798,PRUNED
28,0.29398614514465116,2025-12-21 16:15:01.263004,2025-12-21 16:15:25.066613,0 days 00:00:23.803609,16,128,0.4578380167892514,1536,0.8621987940830925,1,huber,5.337341657225663e-05,4,1.4011646042660612e-10,0.7960333824157715,0.06340998411178589,1.084630012512207,0.29398614514465116,PRUNED
29,0.22359674918863998,2025-12-21 16:15:25.066786,2025-12-21 16:15:46.987131,0 days 00:00:21.920345,64,256,0.36445139862039366,256,1.951946174861599,1,huber,0.0002419193113244752,8,7.19055589439607e-09,0.8324609994888306,0.04609882831573486,1.0946078300476074,0.22359674918863998,PRUNED
30,0.3140100789706004,2025-12-21 16:15:46.987307,2025-12-21 16:16:09.222551,0 days 00:00:22.235244,32,384,0.1916478741698753,1024,,2,mse,0.0005078107171548127,8,2.394675869324381e-07,0.8679534792900085,0.010917961597442627,1.114610195159912,0.3140100789706004,PRUNED
31,0.2975392220157155,2025-12-21 16:16:09.222721,2025-12-21 16:16:32.406335,0 days 00:00:23.183614,32,384,0.041983638368000745,256,1.2765201493936018,4,huber,8.280235296257964e-05,8,2.6319160052804028e-08,0.8100360035896301,-0.08517134189605713,1.1674976348876953,0.2975392220157155,PRUNED
32,0.44594904571956223,2025-12-21 16:16:32.406513,2025-12-21 16:20:56.197367,0 days 00:04:23.790854,32,384,0.07036602447996239,256,0.8164674701787893,3,huber,0.0004466944517046925,8,1.0541118609400328e-08,0.731756329536438,0.04278844594955444,1.0965055227279663,0.44594904571956223,PRUNED
33,0.5175619165135519,2025-12-21 16:20:56.197543,2025-12-21 16:28:43.393355,0 days 00:07:47.195812,32,384,0.13511145016337817,256,1.6553747228448898,4,huber,0.0003176625593801988,8,3.30659376427445e-09,0.7188342213630676,0.12601733207702637,1.0477514266967773,0.480055473903319,COMPLETE
34,0.3087432745270762,2025-12-21 16:28:43.393629,2025-12-21 16:29:05.585175,0 days 00:00:22.191546,32,384,0.12818646854643406,256,3.6837662457106752,3,huber,0.0002980814112952983,8,3.0234036385785805e-09,0.8479709029197693,0.020399928092956543,1.1092545986175537,0.3087432745270762,PRUNED
35,0.2980699985592183,2025-12-21 16:29:05.585355,2025-12-21 16:29:27.794603,0 days 00:00:22.209248,32,384,0.22542864625147416,256,1.0505682237578824,4,huber,0.0001104268720222804,8,4.994015790933719e-10,0.8573001623153687,-0.0318601131439209,1.1384586095809937,0.2980699985592183,PRUNED
36,0.213968877404462,2025-12-21 16:29:27.794779,2025-12-21 16:29:50.563619,0 days 00:00:22.768840,64,256,0.12234726693453477,1536,1.846037626367585,4,huber,0.00019444120875484585,4,5.236028372171518e-08,0.8106064200401306,-0.0004277229309082031,1.1209847927093506,0.213968877404462,PRUNED
37,0.4269622799132802,2025-12-21 16:29:50.563787,2025-12-21 16:33:09.477499,0 days 00:03:18.913712,32,256,0.18225422763428428,256,0.6956760197020723,1,huber,0.0007903138075244936,8,5.664823275327138e-07,0.7410910725593567,0.0775952935218811,1.0763849020004272,0.4269622799132802,PRUNED
38,0.28710906345750176,2025-12-21 16:33:09.477680,2025-12-21 16:33:34.504240,0 days 00:00:25.026560,16,384,0.15112338124441962,1536,,2,mse,0.00046248857711296044,4,1.338790294978349e-09,0.847576916217804,0.0242764949798584,1.1070576906204224,0.28710906345750176,PRUNED
39,0.25085336754484894,2025-12-21 16:33:34.504420,2025-12-21 16:33:55.405133,0 days 00:00:20.900713,32,256,0.49734447379578617,512,1.6999510681866705,3,huber,6.996724115998398e-05,8,1.1953664614395316e-08,1.0475294589996338,-0.31916487216949463,1.2872307300567627,0.25085336754484894,PRUNED
40,0.009214939298430268,2025-12-21 16:33:55.405306,2025-12-21 16:34:20.911641,0 days 00:00:25.506335,64,128,0.24267930550078376,1536,,1,mse,3.716208422261403e-05,8,1.0588891324368544e-07,0.8420854210853577,-0.04322230815887451,1.1447094678878784,0.009214939298430268,PRUNED
41,0.3402109644804948,2025-12-21 16:34:20.911814,2025-12-21 16:35:05.555164,0 days 00:00:44.643350,32,384,0.08236358506499186,256,1.2788182178604601,4,huber,0.00041199923251601265,8,1.5309585718001306e-10,0.7718814015388489,0.09548085927963257,1.0658981800079346,0.3402109644804948,PRUNED
42,0.5476363031897149,2025-12-21 16:35:05.555342,2025-12-21 16:45:15.471448,0 days 00:10:09.916106,32,384,0.05019132238184265,256,1.3933285169455423,4,huber,0.0003263153500741951,8,1.0519159059875745e-09,0.7284005880355835,0.10030770301818848,1.063050389289856,0.47175331611240867,COMPLETE
43,0.5280517585765527,2025-12-21 16:45:15.471703,2025-12-21 16:52:46.636515,0 days 00:07:31.164812,32,384,0.14061487447834248,256,1.0221861263723069,4,huber,0.0003354855439925603,8,8.793787437979798e-10,0.7354065775871277,0.12653249502182007,1.0474425554275513,0.49416474973614505,COMPLETE
44,0.29004517175516725,2025-12-21 16:52:46.636788,2025-12-21 16:53:07.861125,0 days 00:00:21.224337,32,384,0.0415922688655245,256,1.0891718984438035,4,huber,0.00028282455180562484,8,1.3954187308432892e-09,0.7793435454368591,0.020618081092834473,1.109131097793579,0.29004517175516725,PRUNED
45,0.1685295831944104,2025-12-21 16:53:07.861293,2025-12-21 16:53:31.005050,0 days 00:00:23.143757,32,384,0.10642833980035907,256,0.997697887301303,4,huber,0.0006287801311243326,8,2.8340558966766727e-10,0.8405243754386902,-0.04520010948181152,1.1457940340042114,0.1685295831944104,PRUNED
46,0.09272495334400736,2025-12-21 16:53:31.005224,2025-12-21 16:54:03.012162,0 days 00:00:32.006938,16,384,0.003366327926784818,256,2.0979928458200536,4,huber,0.0013726219307718865,4,7.573223441583504e-10,0.8679786324501038,-0.12078094482421875,1.1864985227584839,0.09272495334400736,PRUNED
47,0.5076865309595284,2025-12-21 16:54:03.012329,2025-12-21 17:02:11.806801,0 days 00:08:08.794472,32,384,0.1401614983046321,256,1.3871393309135387,4,huber,0.0003583891613033622,8,3.348115890257796e-09,0.9004723429679871,-0.2675509452819824,1.2617971897125244,0.46642548654589816,COMPLETE
48,0.6177246885976504,2025-12-21 17:02:11.807076,2025-12-21 17:25:28.335042,0 days 00:23:16.527966,16,384,0.30269604826812774,256,0.7304856312863702,4,huber,0.00011917339948801521,4,3.2986244803228615e-10,1.0415059328079224,-0.3110203742980957,1.2832509279251099,0.5940454905434173,COMPLETE
49,0.3136275188542249,2025-12-21 17:25:28.335295,2025-12-21 17:25:51.396348,0 days 00:00:23.061053,16,384,0.3189341438513548,256,0.7046303803089077,4,huber,0.00012177848501681953,4,2.846803087262785e-10,0.8765749931335449,-0.018889427185058594,1.131280779838562,0.3136275188542249,PRUNED
50,0.3529597904900026,2025-12-21 17:25:51.396517,2025-12-21 17:26:38.000229,0 days 00:00:46.603712,16,384,0.29332955295068647,256,0.704565175494979,4,huber,0.00016106566027235356,4,1.406270262772333e-10,0.9063992500305176,-0.08212518692016602,1.1658579111099243,0.3529597904900026,PRUNED
51,0.4989621248619642,2025-12-21 17:26:38.000414,2025-12-21 17:34:21.335178,0 days 00:07:43.334764,16,384,0.34949775934621463,256,1.51155888756,4,huber,0.00021812168981008128,4,8.793679740086307e-10,1.3456448316574097,-0.9815686941146851,1.5776526927947998,0.40897620630358994,COMPLETE
52,0.35347862200526253,2025-12-21 17:34:21.335468,2025-12-21 17:35:08.492506,0 days 00:00:47.157038,16,384,0.2433361740517121,256,1.2642192815509634,4,huber,0.00010307322102452639,4,0.0019113213684389524,0.887627363204956,-0.05640602111816406,1.1519198417663574,0.35347862200526253,PRUNED
53,0.1315755832156807,2025-12-21 17:35:08.492682,2025-12-21 17:35:31.774179,0 days 00:00:23.281497,16,384,0.39431968480903906,1536,0.9167218181019547,4,huber,0.000551597823018884,4,2.1050095198147408e-09,1.1878269910812378,-0.606769323348999,1.4206385612487793,0.1315755832156807,PRUNED
54,0.27549479961605244,2025-12-21 17:35:31.774362,2025-12-21 17:35:53.543667,0 days 00:00:21.769305,32,384,0.36540887852706117,256,1.1864608415075444,3,huber,0.0001722796117064181,8,0.00031748987475968337,1.018035888671875,-0.23536574840545654,1.2456746101379395,0.27549479961605244,PRUNED
55,0.3089445889641402,2025-12-21 17:35:53.543846,2025-12-21 17:36:17.495314,0 days 00:00:23.951468,16,384,0.17581037126038213,1536,1.6189320291126066,4,huber,5.906293686745296e-05,4,3.628118257503184e-06,0.7742390632629395,0.02902287244796753,1.104361653327942,0.3089445889641402,PRUNED
56,0.3216710727978293,2025-12-21 17:36:17.495497,2025-12-21 17:37:00.453307,0 days 00:00:42.957810,32,256,0.3157814272603904,512,1.3996486101045944,4,huber,0.00033314101522630835,8,5.4399410834018365e-09,0.9605503082275391,-0.13918912410736084,1.1962026357650757,0.3216710727978293,PRUNED
57,0.23641581855688484,2025-12-21 17:37:00.453483,2025-12-21 17:37:22.110330,0 days 00:00:21.656847,64,384,0.41327719415230685,256,0.775944456784375,3,huber,0.0002712009899918717,4,1.4324092102537008e-05,0.9895370602607727,-0.19018471240997314,1.2226834297180176,0.23641581855688484,PRUNED
58,0.32498548967005964,2025-12-21 17:37:22.110508,2025-12-21 17:37:43.705567,0 days 00:00:21.595059,32,384,0.2048081733424979,1536,0.9711346445554134,4,huber,9.086920352202843e-05,8,4.263809250415935e-05,0.7852451205253601,0.07281529903411865,1.0791702270507812,0.32498548967005964,PRUNED
59,0.46302636730259994,2025-12-21 17:37:43.705743,2025-12-21 17:41:08.900511,0 days 00:03:25.194768,16,256,0.033685223827209385,256,0.5030441530575999,4,huber,0.00023261963183677457,8,2.861767113243054e-10,0.7322686910629272,0.026845812797546387,1.1055991649627686,0.46302636730259994,PRUNED
60,0.26934929770667326,2025-12-21 17:41:08.900688,2025-12-21 17:41:30.600683,0 days 00:00:21.699995,32,384,0.26375724545610696,1536,1.1347263231117641,3,huber,0.00013648228929439635,4,1.0437090564998475e-09,0.8425638675689697,-0.0031386613845825195,1.1225025653839111,0.26934929770667326,PRUNED
61,0.3227578621857893,2025-12-21 17:41:30.600855,2025-12-21 17:41:52.405328,0 days 00:00:21.804473,32,384,0.13391149510395417,256,1.4039428751342038,4,huber,0.0003675222613602731,8,4.5382958582837405e-09,0.7795594930648804,0.09162527322769165,1.0681675672531128,0.3227578621857893,PRUNED
62,0.2980946985576519,2025-12-21 17:41:52.405508,2025-12-21 17:42:14.202050,0 days 00:00:21.796542,32,384,0.1434517941434969,256,1.5169361179486163,4,huber,0.00036240725369238164,8,2.7086053329965775e-09,0.8071991801261902,-0.05673336982727051,1.1520984172821045,0.2980946985576519,PRUNED
63,0.16339268176907684,2025-12-21 17:42:14.202222,2025-12-21 17:42:36.612717,0 days 00:00:22.410495,32,384,0.09114458265715608,256,1.85026411977047,4,huber,0.0008743632878419334,8,4.613045316445894e-10,0.8638231754302979,-0.10848581790924072,1.179972529411316,0.16339268176907684,PRUNED
64,0.15847293983592392,2025-12-21 17:42:36.612888,2025-12-21 17:42:57.523406,0 days 00:00:20.910518,32,384,0.16955872089370588,256,0.6131250162477332,4,huber,0.0006759142487680612,8,1.4692380097287326e-08,0.8513665199279785,-0.06921875476837158,1.1588844060897827,0.15847293983592392,PRUNED
65,0.32296380673572916,2025-12-21 17:42:57.523577,2025-12-21 17:43:19.833734,0 days 00:00:22.310157,32,384,0.1088089057094419,256,2.229853867010532,1,huber,0.0004273969258715381,8,4.208523957638321e-08,0.7914736866950989,0.032156407833099365,1.1025782823562622,0.32296380673572916,PRUNED
66,0.10802991942644802,2025-12-21 17:43:19.833906,2025-12-21 17:43:41.065741,0 days 00:00:21.231835,32,384,0.05588856548288998,1536,,4,mse,0.0005438739915002751,8,4.6649953556704605e-09,0.912366509437561,-0.24579250812530518,1.2509205341339111,0.10802991942644802,PRUNED
67,0.3739617047066892,2025-12-21 17:43:41.065912,2025-12-21 17:44:26.967736,0 days 00:00:45.901824,16,256,0.16425821352353523,512,1.2308908427311107,4,huber,0.00024770715461466445,8,0.004707282483246443,0.8125686645507812,0.08242809772491455,1.073561429977417,0.3739617047066892,PRUNED
68,0.29597337777896787,2025-12-21 17:44:26.967910,2025-12-21 17:44:49.392487,0 days 00:00:22.424577,32,384,0.20660650447929924,256,1.7098618271345942,1,huber,0.00017526242661684125,8,2.309585595062698e-09,0.7809306383132935,0.011162638664245605,1.1144722700119019,0.29597337777896787,PRUNED
69,0.2548315306542253,2025-12-21 17:44:49.392667,2025-12-21 17:45:12.003683,0 days 00:00:22.611016,32,384,0.37414475913405915,256,,3,mse,0.000319058769640823,4,7.497411826697074e-09,0.9961866736412048,-0.2279297113418579,1.241919994354248,0.2548315306542253,PRUNED
70,0.1668740477266076,2025-12-21 17:45:12.003861,2025-12-21 17:45:34.861567,0 days 00:00:22.857706,64,256,0.4736582819772328,1536,1.3915576955475775,4,huber,0.00019587241445996164,8,1.930336125359776e-10,0.9769747257232666,-0.18413865566253662,1.219573974609375,0.1668740477266076,PRUNED
71,0.453648504665817,2025-12-21 17:45:34.861742,2025-12-21 17:49:11.718063,0 days 00:03:36.856321,16,384,0.32911617757435974,256,1.5325158164926342,4,huber,0.00023178774271367762,4,8.687171625307057e-10,1.0502166748046875,-0.28550291061401367,1.2707009315490723,0.453648504665817,PRUNED
72,-0.12967610438274932,2025-12-21 17:49:11.718244,2025-12-21 17:49:35.698160,0 days 00:00:23.979916,16,384,0.34684081819400375,256,1.480879612073515,4,huber,0.0025632471637069515,4,6.730384085063894e-10,1.141784906387329,-0.5112054347991943,1.377744197845459,-0.12967610438274932,PRUNED
73,0.30154017267810945,2025-12-21 17:49:35.698333,2025-12-21 17:49:58.092520,0 days 00:00:22.394187,16,384,0.27949400502849653,256,1.121504076857713,4,huber,0.00012254429486540728,4,4.257218648162042e-10,0.8465126752853394,-0.0048677921295166016,1.123469591140747,0.30154017267810945,PRUNED
74,0.3238660573234315,2025-12-21 17:49:58.092690,2025-12-21 17:50:20.730413,0 days 00:00:22.637723,16,384,0.3478120364336599,256,0.7930802392824643,4,huber,0.00021060822033592793,4,1.0772596339075847e-09,0.8190011978149414,0.07006162405014038,1.0807716846466064,0.3238660573234315,PRUNED
75,0.3737172695339765,2025-12-21 17:50:20.730592,2025-12-21 17:51:08.426613,0 days 00:00:47.696021,16,384,0.020124763973520865,256,0.9567476472607376,4,huber,0.0003073280312432979,4,1.0766797246766589e-10,0.7535436749458313,0.020914137363433838,1.1089634895324707,0.3737172695339765,PRUNED
76,0.3967214261762106,2025-12-21 17:51:08.426785,2025-12-21 17:52:59.755389,0 days 00:01:51.328604,32,384,0.11716029396273725,256,,4,mse,0.00039124527649512326,8,1.5821153200612725e-08,0.7842678427696228,0.06880837678909302,1.081499695777893,0.3967214261762106,PRUNED
77,0.331212895057367,2025-12-21 17:52:59.755565,2025-12-21 17:54:35.557512,0 days 00:01:35.801947,16,384,0.29276511190211957,1024,3.311276281356053,1,huber,0.0004964132654044532,4,3.402768843598627e-09,0.9870988130569458,-0.23354506492614746,1.2447563409805298,0.331212895057367,PRUNED
78,0.2629966800180857,2025-12-21 17:54:35.557686,2025-12-21 17:55:00.912419,0 days 00:00:25.354733,32,256,0.4146524359082203,1536,2.00936736009005,2,huber,7.233360189300056e-05,8,2.2898006549536078e-07,0.9571194052696228,-0.12584960460662842,1.189178466796875,0.2629966800180857,PRUNED
79,0.5131049081888129,2025-12-21 17:55:00.912591,2025-12-21 18:04:18.834246,0 days 00:09:17.921655,16,384,0.14236153302791454,256,1.0637231565208778,4,huber,0.00014874338976935038,4,7.981195155968427e-07,0.7429370284080505,0.1373530626296997,1.040934443473816,0.5131028356200086,COMPLETE
80,0.13168593816578825,2025-12-21 18:04:18.834504,2025-12-21 18:04:42.286100,0 days 00:00:23.451596,32,128,0.1440495572533046,512,,4,mse,2.323825321934148e-05,8,8.199044507436165e-07,0.8344065546989441,-0.03410983085632324,1.139699101448059,0.13168593816578825,PRUNED
81,0.4349513872893441,2025-12-21 18:04:42.286281,2025-12-21 18:07:49.007878,0 days 00:03:06.721597,16,384,0.09571256044545443,256,1.3411462063124027,4,huber,0.00016480432449847367,4,2.4784712988494296e-06,0.7141539454460144,0.10158747434616089,1.0622940063476562,0.4349513872893441,PRUNED
82,0.31118533654914504,2025-12-21 18:07:49.008055,2025-12-21 18:08:11.974866,0 days 00:00:22.966811,16,384,0.0800622763406322,256,1.7179690644945926,4,huber,0.0002712082130160337,4,1.1012801704543237e-06,0.8059808015823364,0.0018795132637023926,1.1196913719177246,0.31118533654914504,PRUNED
83,0.5610577660688183,2025-12-21 18:08:11.975043,2025-12-21 18:22:25.446578,0 days 00:14:13.471535,16,384,0.15387522121219468,256,1.039749464930158,4,huber,9.167095355740098e-05,4,4.933634662267309e-07,0.7284790277481079,0.12749457359313965,1.0468655824661255,0.5520982176734204,COMPLETE
84,0.3558542693002,2025-12-21 18:22:25.446849,2025-12-21 18:23:12.856214,0 days 00:00:47.409365,16,384,0.1582924917939247,256,1.0275832972588266,4,huber,9.381268783876189e-05,4,5.244524966014271e-07,0.8184458017349243,0.04116624593734741,1.0974342823028564,0.3558542693002,PRUNED
