number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
50,0.3110590739164099,2025-12-23 06:29:58.572406,2025-12-23 06:30:35.110874,0 days 00:00:36.538468,64,1.557012285994486,0.23201731959276786,768,4.4301348648467953e-05,4,2,0.0009957283235485104,PRUNED
51,0.5053450610458504,2025-12-23 06:30:35.111060,2025-12-23 06:32:14.148388,0 days 00:01:39.037328,16,0.7353989060978638,0.08454212612496695,512,7.405282931768985e-05,4,2,2.419471205654572e-07,PRUNED
52,0.5293244037905784,2025-12-23 06:32:14.148581,2025-12-23 06:33:50.917747,0 days 00:01:36.769166,16,0.6830763157627118,0.05672239239399718,512,2.4601569219564296e-05,4,2,1.0193211990226792e-07,PRUNED
53,0.5218043329961528,2025-12-23 06:33:50.917977,2025-12-23 06:35:30.096708,0 days 00:01:39.178731,16,0.10097490026986089,0.14269425674800149,512,0.00010143815485061948,4,2,2.5409000920845634e-07,PRUNED
54,0.5634013541025075,2025-12-23 06:35:30.096900,2025-12-23 06:43:05.693711,0 days 00:07:35.596811,16,0.43352131466661953,0.07182144627978065,512,3.53223427888132e-05,4,3,7.373640424084721e-06,COMPLETE
55,0.5603237113899522,2025-12-23 06:43:05.694030,2025-12-23 06:50:06.465612,0 days 00:07:00.771582,16,0.44230152787959925,0.02856601007797613,512,3.5830501046050496e-05,4,3,2.229142935975029e-05,COMPLETE
56,0.013322335256433027,2025-12-23 06:50:06.466009,2025-12-23 06:50:40.670063,0 days 00:00:34.204054,32,0.4280243653654906,0.17027611233420892,256,3.1072051406249696e-05,8,3,3.6038752341159026e-05,PRUNED
57,0.29821781431706956,2025-12-23 06:50:40.670259,2025-12-23 06:51:12.438833,0 days 00:00:31.768574,16,0.3684119770775086,0.04336215414807184,384,1.5065043077693326e-05,4,3,9.382654238989106e-05,PRUNED
58,0.5622810111876997,2025-12-23 06:51:12.439026,2025-12-23 06:59:49.506680,0 days 00:08:37.067654,16,0.49887390147964955,0.06562156649652598,768,4.871767626672848e-05,4,3,0.0003919832681158401,COMPLETE
59,0.400305212075234,2025-12-23 06:59:49.507011,2025-12-23 07:00:22.636012,0 days 00:00:33.129001,16,0.5014863621185228,0.06934991868721882,512,4.093263747194543e-05,4,3,6.932153065206165e-06,PRUNED
60,0.5320715761460949,2025-12-23 07:00:22.636191,2025-12-23 07:02:00.089637,0 days 00:01:37.453446,16,0.5475639237327361,0.09247156057542247,768,5.199382792841013e-05,4,3,0.00015626267481812876,PRUNED
61,0.5538100130409963,2025-12-23 07:02:00.089825,2025-12-23 07:10:38.839816,0 days 00:08:38.749991,16,0.4687320796066876,0.051315724098492305,768,3.982030510566894e-05,4,3,0.00043064815564952804,COMPLETE
