number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_selection,params_tol,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
80,0.44421466879250826,2025-12-22 12:58:57.956243,2025-12-22 12:59:02.723785,0 days 00:00:04.767542,0.019325238808260224,0.02440173242726168,13231,random,1.799385733891117e-05,0.7542132139205933,0.06649899482727051,1.082839846611023,0.44421466879250826,COMPLETE
81,0.4225935246215674,2025-12-22 12:59:02.723949,2025-12-22 12:59:26.730923,0 days 00:00:24.006974,0.002691043594051097,0.02786385175955043,13255,random,1.943474275348176e-05,0.7936726808547974,-0.0052945613861083984,1.1237081289291382,0.4225935246215674,COMPLETE
82,0.42739027925018264,2025-12-22 12:59:26.731232,2025-12-22 12:59:31.376483,0 days 00:00:04.645251,0.019695237720947688,0.08233093714789333,12749,random,2.5289736238355147e-05,0.758179783821106,0.05198556184768677,1.091225028038025,0.42739027925018264,COMPLETE
83,0.3152033743385006,2025-12-22 12:59:31.376641,2025-12-22 12:59:31.707599,0 days 00:00:00.330958,0.6476299505616349,0.048544136417916064,5959,random,5.315034327998685e-05,0.7812260389328003,0.052384912967681885,1.090995192527771,0.3152033743385006,COMPLETE
84,0.4448346976432822,2025-12-22 12:59:31.707716,2025-12-22 12:59:44.610710,0 days 00:00:12.902994,0.00577208889600543,0.12368581858560061,14756,random,1.7203278274584153e-05,0.7593943476676941,0.06114602088928223,1.0859401226043701,0.4448346976432822,COMPLETE
85,0.36666097151110605,2025-12-22 12:59:44.611014,2025-12-22 12:59:45.570300,0 days 00:00:00.959286,0.1159715865919057,0.12316910921587718,14620,random,3.334535214102267e-05,0.7660900950431824,0.05567532777786255,1.089099407196045,0.36666097151110605,COMPLETE
86,0.4057750821488801,2025-12-22 12:59:45.570419,2025-12-22 12:59:48.272669,0 days 00:00:02.702250,0.041279297603481986,0.09139737662732733,16328,random,1.8086856086255666e-05,0.7611138224601746,0.048484086990356445,1.093238353729248,0.4057750821488801,COMPLETE
87,0.4444039664941499,2025-12-22 12:59:48.272798,2025-12-22 12:59:53.116585,0 days 00:00:04.843787,0.01541748790461913,0.027380856111961713,15556,random,7.176635051286686e-05,0.7560966610908508,0.06454384326934814,1.0839732885360718,0.4444039664941499,COMPLETE
88,0.4395815083113453,2025-12-22 12:59:53.116721,2025-12-22 12:59:59.351784,0 days 00:00:06.235063,0.012057784841189897,0.014521045436877312,15264,random,0.00010340257605479723,0.7627395391464233,0.05414646863937378,1.0899807214736938,0.4395815083113453,COMPLETE
89,0.4385719799397172,2025-12-22 12:59:59.351949,2025-12-22 13:00:01.076173,0 days 00:00:01.724224,0.005912335320902906,0.05139464153992036,18255,random,0.004148143916684857,0.7667539119720459,0.048112452030181885,1.0934518575668335,0.4385719799397172,COMPLETE
90,0.41697769357724396,2025-12-22 13:00:01.076321,2025-12-22 13:00:27.323387,0 days 00:00:26.247066,0.0013495681215473028,0.11214242165353343,15760,random,7.187597202944893e-05,0.8014907240867615,-0.028445005416870117,1.136573076248169,0.41697769357724396,COMPLETE
91,0.4346330328563411,2025-12-22 13:00:27.323659,2025-12-22 13:00:31.783508,0 days 00:00:04.459849,0.017563332675697593,0.07209796035197902,14247,random,5.039710652199483e-05,0.7565474510192871,0.05898928642272949,1.0871866941452026,0.4346330328563411,COMPLETE
92,0.44099660092519605,2025-12-22 13:00:31.783662,2025-12-22 13:00:35.857639,0 days 00:00:04.073977,0.025894102125051086,0.029041808601462896,17524,random,1.0442423013677181e-05,0.7522992491722107,0.06758540868759155,1.082209587097168,0.44099660092519605,COMPLETE
93,0.4367484941197513,2025-12-22 13:00:35.857793,2025-12-22 13:00:45.519306,0 days 00:00:09.661513,0.002834996497559985,0.14981466166294094,15266,random,0.00018620893751554926,0.7723934054374695,0.03819316625595093,1.0991343259811401,0.4367484941197513,COMPLETE
94,0.43095960126713173,2025-12-22 13:00:45.519496,2025-12-22 13:00:58.325292,0 days 00:00:12.805796,0.006199599706595751,0.005922312105919342,11925,random,2.2282226081044525e-05,0.7770282030105591,0.029405951499938965,1.1041438579559326,0.43095960126713173,COMPLETE
95,0.39072213751919915,2025-12-22 13:00:58.325469,2025-12-22 13:01:00.116972,0 days 00:00:01.791503,0.04232519671313241,0.19325199987798866,13119,random,4.41589377110672e-05,0.762058675289154,0.05447268486022949,1.0897926092147827,0.39072213751919915,COMPLETE
96,0.4417612631572514,2025-12-22 13:01:00.117111,2025-12-22 13:01:04.969103,0 days 00:00:04.851992,0.013544493625820624,0.07264315697189881,12280,random,9.113655163211225e-05,0.7554395198822021,0.0653076171875,1.0835306644439697,0.4417612631572514,COMPLETE
97,0.4450199427327083,2025-12-22 13:01:04.969344,2025-12-22 13:01:11.737433,0 days 00:00:06.768089,0.008476464379590367,0.0687102466016806,14235,random,9.161180140518803e-05,0.7581515312194824,0.06311380863189697,1.0848015546798706,0.4450199427327083,COMPLETE
98,0.3714322585252842,2025-12-22 13:01:11.737593,2025-12-22 13:01:12.592485,0 days 00:00:00.854892,0.1031158770927117,0.12562978680579565,14508,random,0.0001522547924493602,0.764728307723999,0.05551236867904663,1.089193344116211,0.3714322585252842,COMPLETE
