number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_huber_delta,params_layers,params_loss,params_lr,params_nhead,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
69,0.7319485466739598,2025-12-21 23:49:24.589261,2025-12-21 23:50:42.885176,0 days 00:01:18.295915,16,384,0.38764082140889805,256,0.5006862682023019,2,huber,8.032292115076699e-05,4,6.648406411313301e-09,1.0475378036499023,0.14233165979385376,1.3813334703445435,0.6552226410895868,COMPLETE
70,0.6573876119316909,2025-12-21 23:50:42.885418,2025-12-21 23:51:02.443258,0 days 00:00:19.557840,32,128,0.32680349691937227,512,0.7454147069925959,2,huber,5.2782413338037216e-05,8,1.886164894949538e-05,1.1905673742294312,0.0022293925285339355,1.4898900985717773,0.6573876119316909,PRUNED
71,0.3823404613135888,2025-12-21 23:51:02.443430,2025-12-21 23:51:05.892346,0 days 00:00:03.448916,16,384,0.40857206040952393,256,0.6079695892872318,4,huber,6.322287399888483e-05,4,3.2468439803304113e-06,1.5666254758834839,-0.4145854711532593,1.7739993333816528,0.3823404613135888,PRUNED
72,0.39557487849188666,2025-12-21 23:51:05.892517,2025-12-21 23:51:09.107543,0 days 00:00:03.215026,16,384,0.4981019794026817,256,1.5320290623099755,2,huber,8.8311462589554e-05,4,5.843934379036459e-07,1.8835264444351196,-0.8854537010192871,2.048079490661621,0.39557487849188666,PRUNED
73,0.6025130380070902,2025-12-21 23:51:09.107708,2025-12-21 23:52:20.344359,0 days 00:01:11.236651,16,384,0.43327153507594535,256,0.6854510016079195,2,huber,6.033322616159033e-05,4,7.697178057394945e-06,0.904678225517273,0.13910126686096191,1.3839324712753296,0.6025130380070902,PRUNED
74,0.4826067063444746,2025-12-21 23:52:20.344527,2025-12-21 23:52:23.573298,0 days 00:00:03.228771,16,384,0.4823714533311767,256,0.5470460558749715,3,huber,4.594701222724763e-05,4,1.947516627895143e-06,1.4245039224624634,-0.20732784271240234,1.6388962268829346,0.4826067063444746,PRUNED
75,-0.010960371469339618,2025-12-21 23:52:23.573464,2025-12-21 23:52:26.888937,0 days 00:00:03.315473,16,384,0.4587166828416054,256,0.8329282181696972,4,huber,0.00012460343491247736,4,0.003875852475467008,1.8532519340515137,-0.8521392345428467,2.029904842376709,-0.010960371469339618,PRUNED
76,0.5432953012022986,2025-12-21 23:52:26.889108,2025-12-21 23:52:29.917050,0 days 00:00:03.027942,16,256,0.44603935954367213,1024,0.6302859656031359,2,huber,5.962193355243324e-05,4,3.875119575263488e-07,1.4227848052978516,-0.19236934185028076,1.6287119388580322,0.5432953012022986,PRUNED
77,0.5764441448289594,2025-12-21 23:52:29.917218,2025-12-21 23:52:33.228658,0 days 00:00:03.311440,16,384,0.16723463019181792,256,1.2993518201476089,3,huber,3.701297444255329e-05,4,5.3470192311426e-06,0.9905076622962952,0.09679889678955078,1.4175262451171875,0.5764441448289594,PRUNED
78,0.5902669052284704,2025-12-21 23:52:33.228828,2025-12-21 23:52:36.830386,0 days 00:00:03.601558,16,384,0.38040671591434144,1536,1.7788562297561072,2,huber,3.0376333154814447e-05,4,5.876332253424468e-05,1.4674243927001953,-0.2240811586380005,1.6502281427383423,0.5902669052284704,PRUNED
79,0.5667001233899929,2025-12-21 23:52:36.830552,2025-12-21 23:52:40.103309,0 days 00:00:03.272757,64,384,0.4034443440541647,256,,4,mse,1.6741197970609735e-05,4,0.00034715689482345713,3.3793370723724365,-5.031324863433838,3.6630702018737793,0.5667001233899929,PRUNED
80,0.570372310574081,2025-12-21 23:52:40.103484,2025-12-21 23:52:43.169232,0 days 00:00:03.065748,16,384,0.4676410667562689,256,0.7751252781734915,1,huber,2.280585841270578e-05,4,2.7373808571122394e-05,0.8849378824234009,0.24693775177001953,1.2943576574325562,0.570372310574081,PRUNED
81,0.24196441297135307,2025-12-21 23:52:43.169406,2025-12-21 23:52:47.260010,0 days 00:00:04.090604,16,384,0.10701532738861183,1536,1.0617390381822918,3,huber,7.043084116033034e-05,4,1.8691185202220732e-07,1.031057596206665,0.017416059970855713,1.4785079956054688,0.24196441297135307,PRUNED
82,0.5877879309817863,2025-12-21 23:52:47.260183,2025-12-21 23:52:50.842256,0 days 00:00:03.582073,16,384,0.19503756858291474,1536,0.5319282399188091,3,huber,4.613342349430298e-05,4,8.014046670244498e-08,1.226448655128479,-0.036528587341308594,1.5185514688491821,0.5877879309817863,PRUNED
83,0.33389138863639334,2025-12-21 23:52:50.842432,2025-12-21 23:52:54.263228,0 days 00:00:03.420796,16,384,0.029092420496360342,1536,1.0060367754306176,3,huber,9.21284967938653e-05,4,1.2728273917835779e-08,1.0204583406448364,0.01956498622894287,1.4768904447555542,0.33389138863639334,PRUNED
84,0.17175655700626175,2025-12-21 23:52:54.263402,2025-12-21 23:52:57.394555,0 days 00:00:03.131153,16,384,0.2276808456500845,1536,0.5924565955874472,3,huber,7.292496893530467e-05,4,6.871069569097074e-07,1.0470198392868042,0.009080588817596436,1.4847660064697266,0.17175655700626175,PRUNED
85,-0.35374631970283577,2025-12-21 23:52:57.394725,2025-12-21 23:53:01.201369,0 days 00:00:03.806644,16,384,0.26111044663118377,1024,0.671142858398044,4,huber,0.0001488533392207727,4,4.919319345698565e-08,1.4090710878372192,-0.2386399507522583,1.6600127220153809,-0.35374631970283577,PRUNED
86,0.37325088907574683,2025-12-21 23:53:01.201542,2025-12-21 23:53:04.341373,0 days 00:00:03.139831,16,384,0.4300441883412606,1536,0.734888983138538,3,huber,0.00010817171898779811,8,1.3215500766640555e-06,1.421304702758789,-0.2321469783782959,1.6556559801101685,0.37325088907574683,PRUNED
87,0.60311129712529,2025-12-21 23:53:04.341547,2025-12-21 23:53:07.747476,0 days 00:00:03.405929,16,128,0.4847739605283583,512,0.598500347233231,2,huber,5.59496612093311e-05,4,1.3296583026262656e-07,0.9269855618476868,-0.01826345920562744,1.5051125288009644,0.60311129712529,PRUNED
88,0.5890009757131637,2025-12-21 23:53:07.747644,2025-12-21 23:53:10.917674,0 days 00:00:03.170030,32,384,0.29845437116780527,256,0.5207427307769934,3,huber,6.702709106956496e-05,4,1.1850300684452595e-05,1.386814832687378,-0.15629851818084717,1.6038873195648193,0.5890009757131637,PRUNED
89,0.5897909421731071,2025-12-21 23:53:10.917841,2025-12-21 23:53:15.415468,0 days 00:00:04.497627,16,256,0.41528596728165956,256,1.3627078408593891,2,huber,4.032364815603273e-05,4,2.819230608917701e-07,1.294197678565979,-0.03401303291320801,1.5167075395584106,0.5897909421731071,PRUNED
