number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
42,0.49923430321545526,2025-12-24 08:55:15.269145,2025-12-24 08:55:16.152184,0 days 00:00:00.883039,0.11509066686213745,0.595169504028751,135,1.5756868881578199,0.00020369221524484745,0.040927468300721595,7,22,981,0.682614990672507,0.4580274773356529,0.7576396294321514,0.1878105252981186,COMPLETE
43,0.4763231197767065,2025-12-24 08:55:16.152316,2025-12-24 08:55:17.318199,0 days 00:00:01.165883,0.005152427554039419,0.5263659012829658,134,2.400643661876444,6.45106940973962e-05,0.0395635438675633,8,66,981,0.7250498601250275,0.43478346018103364,0.7461801852839244,0.17072223126888275,COMPLETE
44,0.439324116743,2025-12-24 08:55:17.318327,2025-12-24 08:55:17.994536,0 days 00:00:00.676209,13.201561000626386,0.6032595669877885,143,3.8544066530828576,0.005902873439603128,0.08667608862265458,6,21,855,0.6834802348009241,0.4051110038087322,0.704866202346041,0.2395140528678894,COMPLETE
45,0.45624999999952537,2025-12-24 08:55:17.994667,2025-12-24 08:55:19.138423,0 days 00:00:01.143756,0.03939004918003663,0.47717603418817195,176,1.0955802807525221,0.00012136365307960397,0.017334140097117395,3,124,1199,0.6369501841745107,0.42122066064245445,0.7160173953612371,0.23990455269813538,COMPLETE
46,0.4635958395240517,2025-12-24 08:55:19.138571,2025-12-24 08:55:20.537420,0 days 00:00:01.398849,0.3978416336286595,0.5585073288089956,162,0.13434482410143112,0.7233183041851465,0.011257090179946411,7,86,1290,0.6136951220153406,0.42592174742174427,0.7230905091975472,0.22620929777622223,COMPLETE
47,0.419562419561985,2025-12-24 08:55:20.537542,2025-12-24 08:55:22.008682,0 days 00:00:01.471140,0.0012073505752706654,0.6579920347528142,189,1.794817941986145,0.06384606437696311,0.0018191453285251779,5,52,1029,0.7222029552970339,0.380828021688222,0.685371400959744,0.21472465991973877,COMPLETE
48,0.3387978142073688,2025-12-24 08:55:22.008820,2025-12-24 08:55:22.217517,0 days 00:00:00.208697,0.05793264704849659,0.49357877924622207,153,0.5247891988771147,2.5221134640534586e-05,0.029554003725694375,9,398,695,0.648595191190687,0.20394736842105263,0.5,0.21789439022541046,COMPLETE
49,0.49395973154318,2025-12-24 08:55:22.217637,2025-12-24 08:55:23.029108,0 days 00:00:00.811471,1.4641927168189874,0.8318972648163667,109,2.7830690561070575,0.01816850271531033,0.06676308490714206,2,24,1376,0.7627638807847857,0.4439591357584043,0.7528075846440949,0.16307400166988373,COMPLETE
50,0.47756410256362364,2025-12-24 08:55:23.029245,2025-12-24 08:55:23.431180,0 days 00:00:00.401935,1.4727549108091655,0.8508445047212138,104,3.5060733474359527,0.01614228099878406,0.14006277857262117,2,70,1394,0.8114278639114377,0.429043727891726,0.7340459210877099,0.23399300873279572,COMPLETE
51,0.4245973645676195,2025-12-24 08:55:23.431298,2025-12-24 08:55:24.269177,0 days 00:00:00.837879,17.851745303733917,0.8795804431974055,121,2.892580127622041,0.0024042326663783592,0.04485583905897924,3,18,1451,0.7647628351089115,0.40793911977524255,0.6948980271927486,0.22763825953006744,COMPLETE
52,0.4415954415949847,2025-12-24 08:55:24.269305,2025-12-24 08:55:24.850959,0 days 00:00:00.581654,7.195221954542819,0.8258515936015948,112,4.234266929319616,0.011957360881214742,0.07538974757916718,2,48,1351,0.7246519966653462,0.39781605429282274,0.7086693548387097,0.19982174038887024,COMPLETE
53,0.49853372433971305,2025-12-24 08:55:24.851083,2025-12-24 08:55:25.564247,0 days 00:00:00.713164,1.8159183870137006,0.972290873137938,145,2.476635783441831,0.00019088071904973963,0.06355803981530912,8,15,1279,0.6971122829793778,0.4465007129451808,0.7571605905091976,0.1714315265417099,COMPLETE
54,0.4654939106896758,2025-12-24 08:55:25.564394,2025-12-24 08:55:25.938340,0 days 00:00:00.373946,1.4252837515307335,0.9600877448191539,135,2.3578786273516026,0.00018972889902741296,0.09878337379305237,8,4,1466,0.7763486589663058,0.440044262192794,0.7457011463609705,0.14939817786216736,COMPLETE
55,0.4745308310987517,2025-12-24 08:55:25.938450,2025-12-24 08:55:26.758709,0 days 00:00:00.820259,0.010767634964504353,0.9820596524449747,145,2.82635530208786,1.5007478105333306e-06,0.05805138200498558,4,109,1292,0.6889785568570936,0.4387042436254517,0.7380365235937083,0.182168647646904,COMPLETE
56,0.48927038626563657,2025-12-24 08:55:26.758841,2025-12-24 08:55:27.141376,0 days 00:00:00.382535,0.0003166755861374452,0.8975676101645781,78,4.109583547784332,0.0006303986764436278,0.18639015308672532,5,82,1379,0.7116900988869559,0.4503156725721846,0.7486878499066915,0.19087587296962738,COMPLETE
57,0.4850213980023957,2025-12-24 08:55:27.141522,2025-12-24 08:55:27.877919,0 days 00:00:00.736397,0.101981097019387,0.7671929711869889,100,3.139104882250691,2.2560412051176614e-05,0.06343304366052112,8,56,1204,0.7503745652287059,0.4542259693605741,0.7506873167155425,0.17722132802009583,COMPLETE
58,0.48639999999952127,2025-12-24 08:55:27.878067,2025-12-24 08:55:28.761705,0 days 00:00:00.883638,3.264766892410417,0.956066701208695,131,2.589336680376153,8.715078279271082e-05,0.0423993533384029,5,16,1328,0.8019100211716713,0.4508085793085367,0.7565274260197281,0.21753501892089844,COMPLETE
59,0.47826086956477054,2025-12-24 08:55:28.761886,2025-12-24 08:55:29.437416,0 days 00:00:00.675530,0.9939976929251629,0.9933705536680886,115,4.60176087821593,0.2881478096900884,0.02034482602257782,6,39,450,0.8508825668080066,0.4341647230538567,0.7417521994134898,0.19290024042129517,COMPLETE
60,0.4651162790693319,2025-12-24 08:55:29.437543,2025-12-24 08:55:29.926946,0 days 00:00:00.489403,0.4175857280170372,0.8701878576421669,191,5.14795402238011,2.315240482930615,0.1169423207704396,10,138,1404,0.835442440741051,0.42514618968498447,0.7292513663023193,0.17684867978096008,COMPLETE
61,0.48639999999952127,2025-12-24 08:55:29.927072,2025-12-24 08:55:30.807754,0 days 00:00:00.880682,0.37161712400290586,0.7243331260184925,156,1.752654546110771,0.0035177792055307235,0.03229075481380388,7,22,1252,0.7411913963574802,0.45783761651375837,0.7587893228472408,0.2110820859670639,COMPLETE
62,0.4880952380947724,2025-12-24 08:55:30.807898,2025-12-24 08:55:32.355946,0 days 00:00:01.548048,0.02705972224852438,0.9375809870763436,139,2.095562167444636,0.03200106249737252,0.021688963154883164,7,37,990,0.7013202235831509,0.4559091017663378,0.7544404825379899,0.1868268847465515,COMPLETE
63,0.4960505529221142,2025-12-24 08:55:32.356218,2025-12-24 08:55:33.011934,0 days 00:00:00.655716,0.1851568871968098,0.8415972837454413,148,1.471917253121757,0.0016328215043329335,0.07559458303458179,9,60,1129,0.6788866922156089,0.45820584064890335,0.7579645427885897,0.2059653401374817,COMPLETE
64,0.47473200612510313,2025-12-24 08:55:33.012091,2025-12-24 08:55:33.656727,0 days 00:00:00.644636,2.222384704900995,0.840271951542166,149,0.9908283606438049,0.00026872981332736574,0.07364805761672268,2,97,1078,0.7598168817895524,0.4454269230796245,0.7344916355638497,0.21438300609588623,COMPLETE
65,0.4791666666662009,2025-12-24 08:55:33.656899,2025-12-24 08:55:34.539377,0 days 00:00:00.882478,9.860017659448074,0.8045271959662453,167,1.35870933826432,0.0010391479419676478,0.08739852314412451,3,66,1301,0.7314623253608298,0.43441189852946765,0.7394653092508665,0.1889684647321701,COMPLETE
