number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
22,0.7016005261999143,2025-12-21 12:59:10.024545,2025-12-21 13:02:40.868003,0 days 00:03:30.843458,32,256,0.08775728205529781,512,3,2.1480567976131253e-05,8,0.0007847850841360917,0.7491692918102566,0.7016005261999143,0.37008559703826904,PRUNED
23,0.6643586005826461,2025-12-21 13:02:40.868182,2025-12-21 13:06:08.752029,0 days 00:03:27.883847,32,256,0.36391140396961447,512,3,0.0009663159869191142,8,0.002641711573341293,0.5848251724842668,0.6643586005826461,0.48990294337272644,PRUNED
24,0.7455882352936231,2025-12-21 13:06:08.752209,2025-12-21 13:51:18.975598,0 days 00:45:10.223389,32,256,0.2614394959717648,512,2,0.00010404356827952566,8,0.0003596374119359153,0.7914129615143378,0.7204638801637977,0.08480239659547806,COMPLETE
25,0.7107741787268274,2025-12-21 13:51:18.975865,2025-12-21 13:54:48.642037,0 days 00:03:29.666172,16,256,0.06363731145458545,512,3,0.0003441343934552432,8,3.242677021946314e-05,0.7634566504812177,0.7107741787268274,0.29212868213653564,PRUNED
26,0.7100991884575859,2025-12-21 13:54:48.642222,2025-12-21 13:58:17.436972,0 days 00:03:28.794750,32,128,0.1626129155012691,1536,4,7.041836865489279e-05,8,6.35693180239663e-05,0.7628690763957895,0.7100991884575859,0.22553105652332306,PRUNED
27,0.6650691244235164,2025-12-21 13:58:17.437151,2025-12-21 14:01:45.564139,0 days 00:03:28.126988,32,128,0.3611819636243099,1024,2,0.002438166647762693,4,6.1046513491121774e-06,0.6698870189879513,0.6650691244235164,0.2747485637664795,PRUNED
28,0.7475924987323969,2025-12-21 14:01:45.564318,2025-12-21 14:50:56.399808,0 days 00:49:10.835490,16,256,0.45392608515979815,1024,3,0.0001833030560846721,8,0.00028860012509431356,0.7857142857142857,0.7180460042679461,0.0868474543094635,COMPLETE
29,0.7251461988299199,2025-12-21 14:50:56.400082,2025-12-21 14:57:55.906117,0 days 00:06:59.506035,16,384,0.45737134248856876,1024,3,0.0001788685988848566,8,0.00031509587023218925,0.7814027663258092,0.7251461988299199,0.27437302470207214,PRUNED
30,0.6798469387750351,2025-12-21 14:57:55.906300,2025-12-21 15:01:27.340791,0 days 00:03:31.434491,16,256,0.46706949727096414,1024,4,0.0006222519186845498,4,1.2142212516788574e-05,0.6707613327507511,0.6798469387750351,0.5322554111480713,PRUNED
31,0.6939780613382226,2025-12-21 15:01:27.340977,2025-12-21 15:05:03.532008,0 days 00:03:36.191031,64,256,0.3585529912680194,1024,3,3.221268712312834e-05,8,0.002955572539541542,0.7445227289277904,0.6939780613382226,0.3009721338748932,PRUNED
32,0.7190684133910639,2025-12-21 15:05:03.532183,2025-12-21 15:12:08.961837,0 days 00:07:05.429654,16,256,0.41555711529428696,1024,3,0.00015304578026755771,8,0.0002842854331771098,0.7744207359328715,0.7190684133910639,0.4197525680065155,PRUNED
33,0.7489731819275087,2025-12-21 15:12:08.962071,2025-12-21 15:54:25.567795,0 days 00:42:16.605724,16,256,0.29244435967410937,256,3,5.9570488428057236e-05,8,5.932217366197743e-05,0.7861353657934982,0.7198124267287013,0.3475738763809204,COMPLETE
34,0.7388258033336454,2025-12-21 15:54:25.568061,2025-12-21 16:04:57.056359,0 days 00:10:31.488298,16,256,0.2957240717766611,256,3,7.166880561234211e-05,8,5.105692524201906e-05,0.8153496315402486,0.7388258033336454,0.26394766569137573,PRUNED
