number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_huber_delta,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
27,0.3437643167361875,2025-12-22 01:00:28.631276,2025-12-22 01:00:32.112541,0 days 00:00:03.481265,16,0.36818490448108027,2048,,mse,0.0021449711512813267,1.3799956460022321e-07,1.4331607818603516,-0.2144002914428711,1.6436896324157715,0.3437643167361875,PRUNED
28,0.4015211113849332,2025-12-22 01:00:32.112695,2025-12-22 01:00:35.181678,0 days 00:00:03.068983,32,0.30067879674197656,256,3.393698076399865,huber,0.0009383670006693354,2.5100855314950237e-05,1.2941159009933472,-0.5386555194854736,1.8501611948013306,0.4015211113849332,PRUNED
29,0.6189833429020599,2025-12-22 01:00:35.181831,2025-12-22 01:00:39.107815,0 days 00:00:03.925984,64,0.06636459180580069,512,,mse,0.0014559662627970146,0.0006937079386082897,1.0151972770690918,-0.10561656951904297,1.5683432817459106,0.6189833429020599,PRUNED
30,0.6107300113100993,2025-12-22 01:00:39.107965,2025-12-22 01:00:42.334123,0 days 00:00:03.226158,64,0.34647890048130303,1024,,mse,0.00037729622218714027,0.00011398141639515751,1.115766167640686,0.14998513460159302,1.3751565217971802,0.6107300113100993,PRUNED
31,0.25987913352739067,2025-12-22 01:00:42.334284,2025-12-22 01:00:46.287646,0 days 00:00:03.953362,32,0.2500750570586254,2048,2.0599027194494592,huber,0.0013443067118263628,2.8739217139544074e-10,1.116990327835083,-0.3454248905181885,1.7300896644592285,0.25987913352739067,PRUNED
32,0.36642875194887203,2025-12-22 01:00:46.287800,2025-12-22 01:00:49.496773,0 days 00:00:03.208973,32,0.17776900161097547,2048,2.4873162465673366,huber,0.002017186655514694,1.0665654830051209e-10,0.956007719039917,-0.031194448471069336,1.5146390199661255,0.36642875194887203,PRUNED
33,0.5672620242192413,2025-12-22 01:00:49.497076,2025-12-22 01:00:52.639769,0 days 00:00:03.142693,32,0.28764098828474743,2048,4.724966781718952,huber,0.0008464895318872912,8.058760866282278e-09,1.6473636627197266,-0.4776442050933838,1.8131085634231567,0.5672620242192413,PRUNED
34,0.7027627565429981,2025-12-22 01:00:52.639930,2025-12-22 01:02:05.970846,0 days 00:01:13.330916,32,0.25638998973269406,2048,1.8699088954181171,huber,0.00020339395871289695,0.003112198515423752,0.7772052884101868,0.16150343418121338,1.3658075332641602,0.6653434666140495,COMPLETE
35,0.6283009807705968,2025-12-22 01:02:05.971061,2025-12-22 01:02:09.768685,0 days 00:00:03.797624,16,0.053852844168109676,1024,3.3446176605986535,huber,5.632141910443255e-05,3.2160568561095758e-06,2.062222480773926,-1.6336548328399658,2.4205737113952637,0.6283009807705968,PRUNED
36,0.5215860973993365,2025-12-22 01:02:09.768837,2025-12-22 01:02:13.159001,0 days 00:00:03.390164,32,0.4237020768679569,2048,1.1687154196389486,huber,0.001689030052882682,3.830552734620528e-07,1.1073135137557983,0.06496363878250122,1.4422917366027832,0.5215860973993365,PRUNED
