number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,state
30,0.5686836941518483,2025-12-25 19:17:13.721295,2025-12-25 19:17:36.124907,0 days 00:00:22.403612,0.34205243589746004,0.8092308005592371,134,5.269983383113141,5.206106661230638e-09,0.022569129682718646,7,0.014337819643967485,421,0.6106822664420676,COMPLETE
31,0.6805819427680386,2025-12-25 19:17:36.125530,2025-12-25 19:17:40.211825,0 days 00:00:04.086295,0.19973980885835702,0.7938150596020698,131,7.21290643566537,3.2067567323177534e-09,0.02270204929186007,7,0.018171678801387387,287,0.6151252741794715,PRUNED
32,0.5495297134668023,2025-12-25 19:17:40.212103,2025-12-25 19:17:44.423830,0 days 00:00:04.211727,8.982006878638181,0.8973968505138379,181,9.97874004683043,1.2140550750754898e-07,0.04331330600640315,7,0.06748522040210503,536,0.5787995930271658,PRUNED
33,0.6754493489311756,2025-12-25 19:17:44.424128,2025-12-25 19:17:49.826983,0 days 00:00:05.402855,1.0326135557136298,0.8181116628972668,140,5.1972156398286735,2.795748753057801e-10,0.018570500614572168,4,0.009768979603264446,677,0.5362783514875153,PRUNED
34,0.49909513935752703,2025-12-25 19:17:49.827580,2025-12-25 19:18:11.580071,0 days 00:00:21.752491,0.019510338148860298,0.7530580240208316,119,5.4899767385341285,1.0606993882633085e-09,0.013000053847255421,11,2.3152981485661464,1390,0.6312341997964582,COMPLETE
35,0.33977771200033297,2025-12-25 19:18:11.580740,2025-12-25 19:18:15.649873,0 days 00:00:04.069133,59.66981180898311,0.7326960344520469,158,3.795400730467085,1.006478236766832e-08,0.030638402992168995,8,0.2673249698585183,196,0.591041454249976,PRUNED
36,0.6682637175595673,2025-12-25 19:18:15.650228,2025-12-25 19:18:19.942712,0 days 00:00:04.292484,0.0022724914811019068,0.8236156320106752,101,6.784213834659357,0.000824370684495526,0.016692472541495234,5,0.06203128103485677,1777,0.7139763623512763,PRUNED
37,0.5745083368062024,2025-12-25 19:18:19.943303,2025-12-25 19:18:24.366064,0 days 00:00:04.422761,0.005401558323207994,0.9166489136511116,145,2.6785599310881034,0.24290704818831937,0.1812807759381553,7,0.18131892836308744,870,0.6545442288782992,PRUNED
38,0.6118051853540738,2025-12-25 19:18:24.366353,2025-12-25 19:18:28.774520,0 days 00:00:04.408167,16.053093820865353,0.6695264420642986,126,3.4925532885350825,3.45435447294025e-05,0.04526731249074222,3,12.123254093287473,453,0.5522898542196542,PRUNED
39,0.6819506344578686,2025-12-25 19:18:28.775099,2025-12-25 19:18:34.716906,0 days 00:00:05.941807,0.1213410814186416,0.9572677910576696,105,4.713351629213534,3.709027458618393e-06,0.007450115889847992,8,0.013406660230193214,1060,0.7256067696401854,PRUNED
40,0.593327847541367,2025-12-25 19:18:34.717485,2025-12-25 19:18:38.788091,0 days 00:00:04.070606,0.0008044227847761905,0.6028482770866646,155,1.3698877844718194,2.102371114788881,0.2677498827097213,16,3.2145161959210236,662,0.6755927644193092,PRUNED
41,0.5402862378346702,2025-12-25 19:18:38.788384,2025-12-25 19:19:01.964815,0 days 00:00:23.176431,1.1890781786415481e-05,0.8763220153269586,79,1.616350137524159,2.3222191525023326e-07,0.01342510084780457,4,1.218093742958976,1817,0.5737015141597853,COMPLETE
42,0.4906077144128994,2025-12-25 19:19:01.965474,2025-12-25 19:19:24.286121,0 days 00:00:22.320647,9.802991829401177e-05,0.870904424311272,64,0.796833719467551,7.756978791315697e-07,0.010927701076480178,6,1.476185298586254,1590,0.5278075808789471,COMPLETE
43,0.6422585754527945,2025-12-25 19:19:24.286722,2025-12-25 19:19:28.454280,0 days 00:00:04.167558,3.1615183391990094e-06,0.8431983417989893,89,1.883462825677258,2.463552181984462e-08,0.025963521279491805,2,0.47119669705161715,1863,0.7951114360479858,PRUNED
44,0.6330199065464411,2025-12-25 19:19:28.454561,2025-12-25 19:19:33.844136,0 days 00:00:05.389575,3.8553987621354505e-05,0.7963464449055039,69,0.6629383008970628,6.311617540169173e-09,0.005084235686313488,5,9.930115948157487,1131,0.5635377752649436,PRUNED
45,0.6470489963672001,2025-12-25 19:19:33.845767,2025-12-25 19:19:38.717748,0 days 00:00:04.871981,0.0005962332303548383,0.8957047169150595,48,5.712342953350373,2.0801944890585583e-07,0.07763414934801323,4,5.225018935704166,1986,0.6258650626013097,PRUNED
46,0.5496494286686593,2025-12-25 19:19:38.718548,2025-12-25 19:20:01.443080,0 days 00:00:22.724532,0.006068968763755073,0.9451338534617901,97,2.7084367564860816,5.622224325585467e-05,0.00876573978246925,14,0.16117358064697748,1249,0.5930373510792651,COMPLETE
47,0.5960652309210273,2025-12-25 19:20:01.444522,2025-12-25 19:20:05.793391,0 days 00:00:04.348869,5.688394014393397,0.7431463043631767,84,2.045564302717075,1.6066235382402535e-06,0.02067841768793831,3,0.7534951872176752,1595,0.885664251382577,PRUNED
48,0.5526140952391735,2025-12-25 19:20:05.793951,2025-12-25 19:20:27.566760,0 days 00:00:21.772809,0.02566165161431011,0.9999231500701571,111,1.142527174897674,5.407344531610511e-08,0.01310965627021652,6,0.042092595134240386,1864,0.5286021084932871,COMPLETE
49,0.6395211920731343,2025-12-25 19:20:27.567246,2025-12-25 19:20:31.699287,0 days 00:00:04.132041,0.5078950143823545,0.650129150607993,113,1.0746091255312529,7.097441460833816e-10,0.03008961199587719,7,0.04457120226668331,1405,0.5169619480059826,PRUNED
50,0.6668950258697373,2025-12-25 19:20:31.699819,2025-12-25 19:20:36.046228,0 days 00:00:04.346409,0.02539614389866967,0.9777302626235896,140,0.3880776639355893,7.469178913282884e-08,0.014928247901657902,10,0.004103269706767831,1557,0.5006036069625716,PRUNED
51,0.534867875109014,2025-12-25 19:20:36.046495,2025-12-25 19:20:55.577936,0 days 00:00:19.531441,0.07782441171035731,0.7971881232988938,72,1.3185660829842518,1.8362244413143087e-08,0.0117023313904712,6,0.009152024815444153,1871,0.5600649877715632,COMPLETE
52,0.5463035086989886,2025-12-25 19:20:55.578486,2025-12-25 19:21:17.584468,0 days 00:00:22.005982,0.0019039716298942949,0.9987324128695416,110,1.580567212293311,3.303928744134347e-07,0.0055765697206722085,5,1.7660826560937914,1742,0.6006601937096535,COMPLETE
53,0.689820611674392,2025-12-25 19:21:17.585046,2025-12-25 19:21:21.760294,0 days 00:00:04.175248,0.6505871027097531,0.8929574062563186,97,2.8218224639647116,7.4985795757176815e-06,0.008571193568203697,4,0.11403062350340112,1873,0.5262255070123066,PRUNED
54,0.5464441759728546,2025-12-25 19:21:21.760810,2025-12-25 19:21:45.226178,0 days 00:00:23.465368,0.0001541615403424123,0.93108486354753,127,2.2297549716909586,4.077185557116832e-09,0.0040864455297262795,8,0.3509712711339371,1991,0.5670486603498552,COMPLETE
55,0.6788710781557509,2025-12-25 19:21:45.226919,2025-12-25 19:21:49.406207,0 days 00:00:04.179288,2.5056306093668743,0.7708695374689459,84,6.4663203076002365,0.0020263447300829804,0.0191489802111008,2,0.021340705174294965,1651,0.5811946868861376,PRUNED
56,0.6162534333460219,2025-12-25 19:21:49.406638,2025-12-25 19:21:53.503984,0 days 00:00:04.097346,0.010476813201461672,0.8345640190680753,54,3.3927166145090597,2.6382060605148713e-08,0.036551979550377846,5,0.5851798895290033,1727,0.6193680969326658,PRUNED
57,0.6829771532252413,2025-12-25 19:21:53.504518,2025-12-25 19:21:57.818088,0 days 00:00:04.313570,3.902997514398601e-06,0.8628729863349963,187,0.3847753811770429,7.332742038858648e-07,0.026175659471060042,3,0.0024315441265522954,1897,0.6457535725926788,PRUNED
58,0.6289138314769507,2025-12-25 19:21:57.818682,2025-12-25 19:22:02.386841,0 days 00:00:04.568159,1.2503090521484687e-06,0.8098065449442843,123,4.265242021712118,1.7770133044666145e-10,0.05611272015863531,6,3.8159391222242816,913,0.5477197286316149,PRUNED
59,0.6901627845968495,2025-12-25 19:22:02.387406,2025-12-25 19:22:07.201674,0 days 00:00:04.814268,0.16720244151170216,0.8486415470247235,115,0.86430371128502,5.3978005474871155e-08,0.003267396971919875,4,0.04221141969651412,1807,0.5240162366429164,PRUNED
60,0.5411098242028696,2025-12-25 19:22:07.202115,2025-12-25 19:22:24.918904,0 days 00:00:17.716789,1.584189727024829e-08,0.8865026054260334,164,1.1776082168761015,0.00028397821717949845,0.01446989948674789,7,0.22200317660893124,1402,0.6038811741176624,COMPLETE
61,0.5577267948084419,2025-12-25 19:22:24.919601,2025-12-25 19:22:45.126701,0 days 00:00:20.207100,0.005075997053710573,0.9493312542380449,94,2.750339655998211,6.714809109260067e-05,0.00843433170492015,12,0.15426119956515674,1199,0.588318015407085,COMPLETE
62,0.5246222484212307,2025-12-25 19:22:45.126997,2025-12-25 19:23:07.067826,0 days 00:00:21.940829,0.0008811320382405111,0.9961095354354871,102,1.9353429544704004,0.019116310866293416,0.007568286214605964,13,1.0028841337996282,1247,0.5763227264802373,COMPLETE
