number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_cv_mean_best_epoch,user_attrs_cv_mean_rmse,user_attrs_cv_mean_score,user_attrs_cv_mean_spearman,user_attrs_cv_std_score,state
35,0.6083834561294985,2025-12-25 19:08:52.306562,2025-12-25 19:09:42.747184,0 days 00:00:50.440622,16,0.04176695941344444,0.0001247756479292608,1.1292269231851866e-07,,,,,,PRUNED
36,0.3168521261956781,2025-12-25 19:09:42.748238,2025-12-25 19:10:54.315317,0 days 00:01:11.567079,64,0.21736487794241235,4.395921751098162e-05,4.401385967756035e-06,,,,,,PRUNED
37,0.5235245713600297,2025-12-25 19:10:54.316494,2025-12-25 19:11:48.557366,0 days 00:00:54.240872,32,0.0408616159942931,0.0009322390856588507,4.928270991122508e-08,,,,,,PRUNED
38,0.45953823486047046,2025-12-25 19:11:48.558406,2025-12-25 19:12:38.238348,0 days 00:00:49.679942,16,0.08742590286210235,6.726588657587256e-05,5.948100834288659e-07,,,,,,PRUNED
39,0.4328487469087827,2025-12-25 19:12:38.239054,2025-12-25 19:13:47.671875,0 days 00:01:09.432821,64,0.15641077972372947,0.002208195182134143,6.935867479694987e-09,,,,,,PRUNED
40,0.5324210673439256,2025-12-25 19:13:47.672746,2025-12-25 19:14:39.007383,0 days 00:00:51.334637,32,0.02973282451192477,0.0012414482066501113,1.1593263441961503e-07,,,,,,PRUNED
41,0.5070057214376089,2025-12-25 19:14:39.008297,2025-12-25 19:18:32.792137,0 days 00:03:53.783840,16,0.13543122231838495,0.00018860385095280686,4.0737529113855955e-08,13.6,35.701346969604494,0.5070057214376089,0.5070057214376089,0.1179566295324875,COMPLETE
42,0.35004289967405905,2025-12-25 19:18:32.793344,2025-12-25 19:19:26.663997,0 days 00:00:53.870653,16,0.06854763099099412,2.3268395317368953e-05,3.766297613162721e-08,,,,,,PRUNED
43,0.5957230579985697,2025-12-25 19:19:26.664992,2025-12-25 19:20:20.332369,0 days 00:00:53.667377,16,0.24117012340857424,0.0001365741954505465,1.3372691763382969e-08,,,,,,PRUNED
44,0.47117211422402666,2025-12-25 19:20:20.333380,2025-12-25 19:21:13.268792,0 days 00:00:52.935412,16,0.18089353682876472,6.778432488458875e-05,7.912728083600437e-06,,,,,,PRUNED
45,0.5016623352965969,2025-12-25 19:21:13.269218,2025-12-25 19:25:33.241278,0 days 00:04:19.972060,16,0.2696363972850299,0.00021727156648091247,1.6776895515114516e-06,14.8,35.44962043762207,0.5016623352965969,0.5016623352965969,0.11394635407661265,COMPLETE
46,0.5796409306430655,2025-12-25 19:25:33.242574,2025-12-25 19:26:27.515275,0 days 00:00:54.272701,32,0.023908905567061496,0.000557503917499624,2.2065695341016282e-07,,,,,,PRUNED
47,0.4677503849994514,2025-12-25 19:26:27.516221,2025-12-25 19:27:22.540878,0 days 00:00:55.024657,32,0.1068185476934624,0.00014800468680187373,4.1492855870672917e-07,,,,,,PRUNED
48,0.5399488716379914,2025-12-25 19:27:22.541921,2025-12-25 19:28:15.946201,0 days 00:00:53.404280,16,0.06303027573272316,9.184797088319779e-05,4.555122410530281e-05,,,,,,PRUNED
49,0.570402261736712,2025-12-25 19:28:15.947209,2025-12-25 19:29:10.620186,0 days 00:00:54.672977,32,0.1437591423460138,0.00037575167104902084,1.975321580353219e-08,,,,,,PRUNED
