number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
33,0.8764044943815225,2025-12-18 14:21:49.016463,2025-12-18 14:21:50.264567,0 days 00:00:01.248104,0.1596081717722456,0.4929120095504162,79,7.7991358593723845,1.943528256335677e-06,0.008190192115680629,7,27,1160,0.6434779079086426,0.9372055791083246,0.9470180253690379,0.49485039710998535,COMPLETE
34,0.8333333333328364,2025-12-18 14:21:50.264807,2025-12-18 14:21:51.123582,0 days 00:00:00.858775,0.13772945746361662,0.502161931921722,86,6.603458896852651,1.922081264140158e-06,0.004420239435019525,7,126,1145,0.649549966188575,0.8947576144419294,0.9034752614791188,0.40576645731925964,COMPLETE
35,0.8711111111106111,2025-12-18 14:21:51.123954,2025-12-18 14:21:52.171895,0 days 00:00:01.047941,0.6924313204455208,0.42181670020650036,79,4.559352865131069,1.2661053223412413e-06,0.0105543156805702,8,84,1284,0.6893316385384645,0.9163184246287757,0.9329982938951117,0.46080562472343445,COMPLETE
36,0.8295687885005311,2025-12-18 14:21:52.172127,2025-12-18 14:21:52.879995,0 days 00:00:00.707868,0.0015853488852583869,0.4975150857231848,101,7.39639451549855,1.0443069125594239e-05,0.003740378367643083,6,118,980,0.537770741821249,0.88240643014701,0.892960462873674,0.4388708770275116,COMPLETE
37,0.644314868804228,2025-12-18 14:21:52.880230,2025-12-18 14:21:53.132076,0 days 00:00:00.251846,0.012126210439338939,0.3862690561211249,127,7.779017618647988,0.00016397968146028967,0.012902044904525182,9,258,1202,0.5852997054060909,0.4752688172043011,0.5,0.5060228109359741,COMPLETE
38,0.8275862068960528,2025-12-18 14:21:53.132319,2025-12-18 14:21:53.798098,0 days 00:00:00.665779,3.3457897977203785,0.6951698778940385,58,5.713648144782338,4.4368077493458176e-07,0.006997920919875019,10,157,1398,0.7586351116481024,0.8805970628465384,0.8933128106223573,0.4688268005847931,COMPLETE
39,0.644314868804228,2025-12-18 14:21:53.798329,2025-12-18 14:21:53.957475,0 days 00:00:00.159146,0.15404797656993974,0.4302811871303417,46,3.7449133522870124,4.9046086748957983e-05,0.0015829356904319611,6,205,860,0.5645391652073487,0.4752688172043011,0.5,0.5062403678894043,COMPLETE
40,0.8796296296291298,2025-12-18 14:21:53.957694,2025-12-18 14:21:55.155682,0 days 00:00:01.197988,0.0008289941443084012,0.5684584645776235,115,6.269766414560351,0.002376123059419981,0.018999646578695333,8,30,1281,0.6433717137155953,0.9409305601884997,0.9511349306431274,0.5985932350158691,COMPLETE
41,0.8838268792705706,2025-12-18 14:21:55.155924,2025-12-18 14:21:56.818061,0 days 00:00:01.662137,0.0041477871774066866,0.6041107824461073,139,6.435167314917891,0.006068517578398128,0.017893235674929914,8,36,1306,0.6449931089564451,0.9382024950852463,0.9493361026630072,0.5314145684242249,COMPLETE
42,0.8789237668156435,2025-12-18 14:21:56.818493,2025-12-18 14:21:57.924221,0 days 00:00:01.105728,0.0007820413445815049,0.620066731181247,143,6.308866451387596,0.004100571754437873,0.01734399416287878,11,72,1301,0.6910025162209604,0.9243012831316826,0.9392663748980047,0.4857948422431946,COMPLETE
