number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
38,0.7562802996909948,2025-12-25 08:56:47.170687,2025-12-25 08:58:20.345574,0 days 00:01:33.174887,64,512,0.2681935247853362,5,3,0.001029825113699796,0.0006738395292117828,0.8145786403953676,0.7562802996909948,0.2577383518218994,PRUNED
39,0.7850467289714624,2025-12-25 08:58:20.346242,2025-12-25 09:00:08.355041,0 days 00:01:48.008799,16,256,0.045387918587715945,3,2,0.00013508194173276843,0.004074405351193082,0.8555658278945875,0.7850467289714624,0.38752374053001404,PRUNED
40,0.773830155978703,2025-12-25 09:00:08.355693,2025-12-25 09:01:46.520387,0 days 00:01:38.164694,16,128,0.12642135254777853,7,1,0.0019075833586163265,7.030302282499397e-06,0.8423938414784845,0.773830155978703,0.37712228298187256,PRUNED
41,0.7634743875273408,2025-12-25 09:01:46.521005,2025-12-25 09:03:28.120745,0 days 00:01:41.599740,16,128,0.2086504167118583,7,4,0.0007320560112442854,1.381438325784382e-05,0.8233319492026825,0.7634743875273408,0.312973290681839,PRUNED
42,0.7780299591461206,2025-12-25 09:03:28.121324,2025-12-25 09:05:12.041075,0 days 00:01:43.919751,16,128,0.18467540564872756,7,4,0.0006370278943722837,4.861036031043195e-05,0.8474832260840115,0.7780299591461206,0.46531450748443604,PRUNED
43,0.8398454272214837,2025-12-25 09:05:12.041807,2025-12-25 09:36:44.650795,0 days 00:31:32.608988,16,128,0.15883007166733026,7,3,0.0002866503717527523,9.09901059411478e-07,0.8942005480491662,0.8315288003459704,0.23403985798358917,COMPLETE
44,0.7679999999995011,2025-12-25 09:36:44.651798,2025-12-25 09:38:10.723206,0 days 00:01:26.071408,64,128,0.1591589294284564,7,3,0.0004262608700629395,3.723575791311861e-07,0.8371039104880766,0.7679999999995011,0.4426734149456024,PRUNED
45,0.8109226313606919,2025-12-25 09:38:10.723926,2025-12-25 09:43:08.553356,0 days 00:04:57.829430,16,128,0.24177027196172363,7,3,0.0003210245515234395,1.1253487469045938e-08,0.8760157341537151,0.8109226313606919,0.24280259013175964,PRUNED
46,0.8072390572385573,2025-12-25 09:43:08.553972,2025-12-25 09:46:31.399104,0 days 00:03:22.845132,16,512,0.29702692237922723,5,3,0.00021242459630089466,4.9402985643316634e-08,0.8712200959127648,0.8072390572385573,0.4335309863090515,PRUNED
47,0.7625964593730837,2025-12-25 09:46:31.399488,2025-12-25 09:48:17.297117,0 days 00:01:45.897629,64,128,0.11296930811114954,7,2,6.299479848462698e-05,6.35919257330417e-07,0.8297361192360597,0.7625964593730837,0.42360392212867737,PRUNED
48,0.7679653679648681,2025-12-25 09:48:17.297775,2025-12-25 09:50:03.068156,0 days 00:01:45.770381,16,256,0.16861502812066048,3,3,3.6757631831717656e-05,1.7494902033616857e-06,0.8291985550674577,0.7679653679648681,0.4301573634147644,PRUNED
49,0.7884615384610387,2025-12-25 09:50:03.068815,2025-12-25 09:51:44.300308,0 days 00:01:41.231493,64,512,0.07519984999500873,3,2,0.000252207585170556,1.3273847517315406e-07,0.853462171210027,0.7884615384610387,0.3643423616886139,PRUNED
