number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_selection,params_tol,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
12,0.5291254844082519,2025-12-22 10:25:17.742018,2025-12-22 10:25:20.044535,0 days 00:00:02.302517,0.040939637311712844,0.5760284922323473,17434,cyclic,1.499346891139475e-05,0.871135413646698,0.14781856536865234,1.3769079446792603,0.5291254844082519,COMPLETE
13,0.5015031007021992,2025-12-22 10:25:20.044653,2025-12-22 10:25:28.006333,0 days 00:00:07.961680,0.02356099308233555,0.578369982629454,15994,cyclic,1.2294156377144855e-05,0.8739618062973022,0.1482117772102356,1.3765902519226074,0.5015031007021992,COMPLETE
14,0.5473740401628432,2025-12-22 10:25:28.006601,2025-12-22 10:25:40.506023,0 days 00:00:12.499422,0.012939172222129633,0.6466610099978731,1018,cyclic,1.2848245034981009e-05,0.8627043962478638,0.16561579704284668,1.3624541759490967,0.5473740401628432,COMPLETE
15,0.0,2025-12-22 10:25:40.506235,2025-12-22 10:25:40.526685,0 days 00:00:00.020450,6.117289509449256,0.7063543644326231,2324,cyclic,3.0649347207733087e-06,1.1221755743026733,-0.020768284797668457,1.506962537765503,0.0,COMPLETE
16,0.5366417343241984,2025-12-22 10:25:40.526794,2025-12-22 10:25:52.177145,0 days 00:00:11.650351,0.008613120176595558,0.8689681100651983,2153,cyclic,5.79029563465469e-05,0.8683704137802124,0.1667289137840271,1.3615450859069824,0.5366417343241984,COMPLETE
17,0.22563623593319332,2025-12-22 10:25:52.177407,2025-12-22 10:26:15.740514,0 days 00:00:23.563107,3.3811024013922746e-05,0.9296963039965285,1664,cyclic,6.18924532453437e-05,1.3650258779525757,-0.8198151588439941,2.0121138095855713,0.22563623593319332,COMPLETE
18,0.4712827519856213,2025-12-22 10:26:15.740741,2025-12-22 10:27:04.510978,0 days 00:00:48.770237,0.004885164985739422,0.7544711992758087,4869,cyclic,7.02521014391427e-05,0.916837215423584,0.06364470720291138,1.4433085918426514,0.4712827519856213,COMPLETE
19,0.18739062125534994,2025-12-22 10:27:04.511301,2025-12-22 10:29:11.881185,0 days 00:02:07.369884,1.163671990825552e-08,0.9980293069604244,8990,cyclic,4.435339950047568e-06,1.7650851011276245,-1.8292348384857178,2.5088424682617188,0.18739062125534994,COMPLETE
20,0.21337357665959564,2025-12-22 10:29:11.881505,2025-12-22 10:29:42.021572,0 days 00:00:30.140067,4.7395761556839376e-05,0.8437097795114186,3355,cyclic,0.00018814840400204386,1.3767437934875488,-0.8407871723175049,2.023674488067627,0.21337357665959564,COMPLETE
21,0.4853831575007609,2025-12-22 10:29:42.021866,2025-12-22 10:29:48.101923,0 days 00:00:06.080057,0.023837619122694505,0.6456756956768883,8439,cyclic,2.706699708774628e-05,0.8840387463569641,0.13971304893493652,1.383440613746643,0.4853831575007609,COMPLETE
22,0.43128202354112555,2025-12-22 10:29:48.102119,2025-12-22 10:30:00.618089,0 days 00:00:12.515970,0.0046597159350418435,0.4571536402010491,1017,cyclic,4.99136347759716e-06,0.9416115283966064,-0.01954019069671631,1.5060557126998901,0.43128202354112555,COMPLETE
