number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
83,0.4267241379305369,2025-12-21 20:44:47.844568,2025-12-21 20:45:02.432625,0 days 00:00:14.588057,16,512,0.2415373891924835,7,2,0.0018303675887178519,0.00023344835196923545,0.6790647494001599,0.4267241379305369,0.5599052309989929,PRUNED
84,0.4772727272722354,2025-12-21 20:45:02.432796,2025-12-21 20:45:28.340586,0 days 00:00:25.907790,16,512,0.22932948928915922,7,2,0.0014886243800762526,1.6481988163493849e-06,0.7405233604372168,0.4772727272722354,0.7031933069229126,PRUNED
85,0.45920303605263263,2025-12-21 20:45:28.340764,2025-12-21 20:45:40.720057,0 days 00:00:12.379293,16,256,0.2623735820701485,7,3,0.0010954280991516715,0.003938779317976713,0.7159007597973873,0.45920303605263263,0.4970851540565491,PRUNED
86,0.5029013539646845,2025-12-21 20:45:40.720223,2025-12-21 20:46:02.508838,0 days 00:00:21.788615,64,512,0.1831870331429897,5,1,0.0007562599342624722,0.0004952768083064142,0.755040322580645,0.5029013539646845,0.6073660254478455,PRUNED
87,0.4525252525247525,2025-12-21 20:46:02.509026,2025-12-21 20:46:16.139366,0 days 00:00:13.630340,16,128,0.3210437530845003,7,2,6.168171749819386e-05,0.00031330928028173907,0.7255065315915756,0.4525252525247525,0.5888168215751648,PRUNED
88,0.442060085836412,2025-12-21 20:46:16.139539,2025-12-21 20:46:26.682013,0 days 00:00:10.542474,32,256,0.28060182555741375,3,4,0.0012916774340563247,0.0019110584230903327,0.6716417288723007,0.442060085836412,0.7424357533454895,PRUNED
89,0.4525252525247525,2025-12-21 20:46:26.682188,2025-12-21 20:46:36.970074,0 days 00:00:10.287886,64,512,0.05791508706567841,7,3,0.0002976943145498941,3.6629666624562597e-06,0.7272060783790989,0.4525252525247525,0.5530394911766052,PRUNED
90,0.45454545454496265,2025-12-21 20:46:36.970243,2025-12-21 20:46:50.355276,0 days 00:00:13.385033,16,128,0.3692291958425924,5,2,0.0009740507486158567,0.00010915319794382265,0.7283266129032259,0.45454545454496265,0.5903967022895813,PRUNED
91,0.46218487394908075,2025-12-21 20:46:50.355450,2025-12-21 20:47:03.395118,0 days 00:00:13.039668,16,128,0.25059017422228996,5,1,0.0004582466473723683,5.656090525180735e-07,0.7414897693948281,0.46218487394908075,0.5770382285118103,PRUNED
92,0.5339966832499303,2025-12-21 20:47:03.395287,2025-12-21 20:47:28.459533,0 days 00:00:25.064246,16,128,0.2374694879171623,5,1,0.0004930494115412352,1.3903892334192197e-07,0.7710110637163424,0.5339966832499303,0.6474053859710693,PRUNED
