number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_huber_delta,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
23,0.3470322244493387,2025-12-21 08:36:09.155459,2025-12-21 08:36:59.241282,0 days 00:00:50.085823,16,0.21089121316647302,2048,2.4100671938302107,huber,0.0002901283729318091,8.308866650039962e-08,0.7659591436386108,0.061554551124572754,1.0857038497924805,0.3470322244493387,PRUNED
24,0.40754687171861387,2025-12-21 08:36:59.241458,2025-12-21 08:41:59.955782,0 days 00:05:00.714324,16,0.08928972011523068,2048,2.1027469804500236,huber,0.0006889308312135687,6.581885625643348e-07,0.7545698285102844,-0.04077780246734619,1.1433675289154053,0.40754687171861387,PRUNED
25,0.4916692057237582,2025-12-21 08:41:59.955962,2025-12-21 08:55:43.780580,0 days 00:13:43.824618,16,0.13784549146211408,256,3.196012461696373,huber,0.0013101795750809816,4.2113874202740676e-05,0.7224071621894836,0.0313451886177063,1.1030402183532715,0.47360616425703694,COMPLETE
26,0.30920905233957424,2025-12-21 08:55:43.780814,2025-12-21 08:56:07.481892,0 days 00:00:23.701078,16,0.19079918774049737,512,1.1495434658472081,huber,0.00018765422698172076,2.3504429530509335e-08,0.844373881816864,-0.23879265785217285,1.247401237487793,0.30920905233957424,PRUNED
27,0.3540761028272538,2025-12-21 08:56:07.482061,2025-12-21 08:56:55.616820,0 days 00:00:48.134759,16,0.2858057157300764,1024,1.7827706205445153,huber,0.0004287636297523585,2.681584320189813e-07,0.7621943354606628,0.03766053915023804,1.0994386672973633,0.3540761028272538,PRUNED
28,0.32718430937320375,2025-12-21 08:56:55.616993,2025-12-21 08:57:41.254324,0 days 00:00:45.637331,32,0.2380897056047985,2048,,mse,0.0019455361418664067,3.237676309717189e-06,0.7895545959472656,-0.029856443405151367,1.137352705001831,0.32718430937320375,PRUNED
29,0.10247669118158097,2025-12-21 08:57:41.254503,2025-12-21 08:58:02.485768,0 days 00:00:21.231265,64,0.21192311420835286,2048,,mse,9.560307161644498e-05,0.00016286423660184188,0.8919658064842224,-0.17651128768920898,1.2156397104263306,0.10247669118158097,PRUNED
30,0.3054417884317807,2025-12-21 08:58:02.485936,2025-12-21 08:58:31.461757,0 days 00:00:28.975821,16,0.3837941315966191,256,3.093974326439165,huber,0.000873031113024989,7.46587808721382e-09,0.8480530381202698,-0.1640862226486206,1.2092036008834839,0.3054417884317807,PRUNED
31,0.30436751968937914,2025-12-21 08:58:31.461929,2025-12-21 08:58:59.846226,0 days 00:00:28.384297,32,0.004787489965662188,256,0.5360009483645,huber,0.0014290416947684724,0.002888004600540972,0.7992437481880188,-0.12190830707550049,1.1870951652526855,0.30436751968937914,PRUNED
32,0.310921369261364,2025-12-21 08:58:59.846401,2025-12-21 08:59:45.188816,0 days 00:00:45.342415,32,0.052232295020862934,256,0.8699569111762105,huber,0.0011618855297712092,0.0006951037884677682,0.7891905903816223,-0.055771708488464355,1.1515740156173706,0.310921369261364,PRUNED
33,0.41353266786018383,2025-12-21 08:59:45.188993,2025-12-21 09:04:24.704122,0 days 00:04:39.515129,32,0.028880278305856197,256,0.5148531331913703,huber,0.002398956556561065,0.003984198029242261,0.7461028099060059,-0.06045699119567871,1.1541264057159424,0.41353266786018383,PRUNED
34,0.26203806837025306,2025-12-21 09:04:24.704295,2025-12-21 09:04:47.004589,0 days 00:00:22.300294,32,0.07674377400403573,2048,4.0113940608761185,huber,0.0006386633327958534,1.5154510879615787e-09,0.8336562514305115,-0.03034043312072754,1.137619972229004,0.26203806837025306,PRUNED
35,0.47214454585811305,2025-12-21 09:04:47.004761,2025-12-21 09:27:42.993017,0 days 00:22:55.988256,32,0.12622879851893357,256,0.6551195711713849,huber,0.0015605400486782416,0.00047662438057094816,0.7546480298042297,-0.12994706630706787,1.191340446472168,0.47214454585811305,PRUNED
36,0.053446145980638265,2025-12-21 09:27:42.993194,2025-12-21 09:28:04.883699,0 days 00:00:21.890505,32,0.1845529437124376,2048,,mse,3.3835993902793675e-05,3.747989786238325e-05,0.9020578265190125,-0.18998026847839355,1.2225784063339233,0.053446145980638265,PRUNED
37,0.26550050042688084,2025-12-21 09:28:04.883869,2025-12-21 09:28:26.640644,0 days 00:00:21.756775,64,0.029299909069735564,512,1.0808638248371112,huber,0.00039462311230142937,5.233948273551198e-08,0.8413933515548706,-0.15342724323272705,1.2036547660827637,0.26550050042688084,PRUNED
38,0.29567630337176093,2025-12-21 09:28:26.640810,2025-12-21 09:28:48.964680,0 days 00:00:22.323870,16,0.1159358130001914,256,,mse,0.00199171686970086,0.008143974810417547,0.8155631422996521,-0.05937087535858154,1.15353524684906,0.29567630337176093,PRUNED
39,0.4650053559243958,2025-12-21 09:28:48.964849,2025-12-21 09:39:07.886733,0 days 00:10:18.921884,32,0.17035881409272913,2048,2.5782104113067486,huber,0.0005670767149055486,5.322375533763643e-06,0.7803734540939331,-0.08482909202575684,1.1673134565353394,0.4409007584968049,COMPLETE
40,0.485357123409866,2025-12-21 09:39:07.886969,2025-12-21 09:52:12.910522,0 days 00:13:05.023553,16,0.04214592925909697,1024,1.6378517035235745,huber,0.0008201336227392728,2.7178192178522437e-07,0.784726619720459,-0.17190754413604736,1.213258981704712,0.4439127769400637,COMPLETE
41,0.3049908632623591,2025-12-21 09:52:12.910765,2025-12-21 09:52:38.123791,0 days 00:00:25.213026,16,0.2667559148963206,2048,1.3517093867682224,huber,0.0016642138490211792,1.4806297548552521e-06,0.8646256327629089,-0.03431057929992676,1.1398096084594727,0.3049908632623591,PRUNED
42,0.29899466032720584,2025-12-21 09:52:38.123978,2025-12-21 09:53:03.581860,0 days 00:00:25.457882,16,0.2955598971502167,2048,1.277363061873628,huber,0.0029470758380519724,5.951517423935777e-06,0.8070224523544312,0.015144646167755127,1.112226128578186,0.29899466032720584,PRUNED
43,0.1617234773385753,2025-12-21 09:53:03.582024,2025-12-21 09:53:28.954190,0 days 00:00:25.372166,16,0.2567791163232376,2048,2.066806280049601,huber,2.39766660075009e-05,5.629682866212422e-10,0.855546772480011,-0.16253328323364258,1.2083967924118042,0.1617234773385753,PRUNED
44,0.29305732007290936,2025-12-21 09:53:28.954361,2025-12-21 09:54:19.161126,0 days 00:00:50.206765,16,0.31544861206077235,2048,1.5280159079062956,huber,0.0011844493085516597,7.438654288281924e-07,0.8249249458312988,-0.013464689254760742,1.128265142440796,0.29305732007290936,PRUNED
45,0.3188013352777336,2025-12-21 09:54:19.161294,2025-12-21 09:54:43.855791,0 days 00:00:24.694497,16,0.24674836915950565,256,,mse,0.0020215818427831325,3.376626904260136e-05,0.7845935225486755,0.01339864730834961,1.1132115125656128,0.3188013352777336,PRUNED
46,0.4685710255014542,2025-12-21 09:54:43.855960,2025-12-21 10:08:53.407538,0 days 00:14:09.551578,16,0.36571436225323417,2048,0.9289290069403235,huber,0.001129821401425014,0.00025687600423091684,0.7399101257324219,0.011701524257659912,1.1141685247421265,0.4344828410120722,COMPLETE
47,0.3002216488169853,2025-12-21 10:08:53.407776,2025-12-21 10:09:15.112221,0 days 00:00:21.704445,64,0.4297833015146685,512,2.66802460378012,huber,0.0018460599621341446,3.813690567872503e-08,0.8213254809379578,-0.13272690773010254,1.1928049325942993,0.3002216488169853,PRUNED
48,0.2697873545538003,2025-12-21 10:09:15.112400,2025-12-21 10:10:06.403505,0 days 00:00:51.291105,16,0.1525127943049328,256,,mse,0.0008776140720749464,4.2489350729449865e-09,0.8734912872314453,-0.17223024368286133,1.213426113128662,0.2697873545538003,PRUNED
49,0.3834743690367373,2025-12-21 10:10:06.403675,2025-12-21 10:12:53.420216,0 days 00:02:47.016541,16,0.22221138533083795,1024,0.6326440700075266,huber,0.002346141212216575,1.64318206957019e-05,0.7973935008049011,-0.11095058917999268,1.181283712387085,0.3834743690367373,PRUNED
50,0.26490323744906696,2025-12-21 10:12:53.420399,2025-12-21 10:13:14.256944,0 days 00:00:20.836545,32,0.3127304986002792,2048,,mse,0.00018469556706915906,1.5800668959599492e-06,0.8078453540802002,-0.006329178810119629,1.12428617477417,0.26490323744906696,PRUNED
