number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_svm_kind,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
51,0.9195402298845576,2025-12-18 14:42:00.888430,2025-12-18 14:42:07.946381,0 days 00:00:07.057951,3.879712707618697,balanced,0.8595336658470764,rbf,,svc,0.9513226099281722,0.9500593427787256,0.571682289609172,COMPLETE
52,0.9062499999995001,2025-12-18 14:42:07.946594,2025-12-18 14:42:15.528958,0 days 00:00:07.582364,3.089562241845852,balanced,4.175873557773801,rbf,,svc,0.9315816261031828,0.9346024033825383,0.4087497573379048,COMPLETE
53,0.9178082191775822,2025-12-18 14:42:15.529427,2025-12-18 14:42:21.850281,0 days 00:00:06.320854,6.021196785043261,balanced,0.37326107527506475,rbf,,svc,0.9599550116859784,0.956290334544915,0.5622056381904289,COMPLETE
54,0.8923076923071926,2025-12-18 14:42:21.850494,2025-12-18 14:42:24.691437,0 days 00:00:02.840943,0.9819452918116666,balanced,,linear,,svc,0.9377297614032063,0.9536477264297901,0.43639792239068104,COMPLETE
55,0.9042316258346894,2025-12-18 14:42:24.691642,2025-12-18 14:42:28.250563,0 days 00:00:03.558921,29.438237351991106,balanced,0.02997363600761301,rbf,,svc,0.95089686252087,0.9594521919738892,0.3933551262219809,COMPLETE
56,0.9026548672561373,2025-12-18 14:42:28.250789,2025-12-18 14:42:36.348744,0 days 00:00:08.097955,1.5519312788059434,balanced,3.4702632793724475,rbf,,svc,0.932560616103515,0.9338142571025888,0.39331073453684595,COMPLETE
57,0.644314868804228,2025-12-18 14:42:36.348967,2025-12-18 14:42:42.862268,0 days 00:00:06.513301,8.363966791399347,balanced,1.0937793079961573,sigmoid,,svc,0.4752688172043011,0.5,0.5281837450006435,COMPLETE
58,0.8893805309729516,2025-12-18 14:42:42.862484,2025-12-18 14:42:44.987091,0 days 00:00:02.124607,0.18677229522331174,balanced,,,15871.0,linear_calibrated,0.9407137311849929,0.9515429122468659,0.44697299432340554,COMPLETE
59,0.8962472406176017,2025-12-18 14:42:44.987313,2025-12-18 14:42:48.061998,0 days 00:00:03.074685,2.6034859375173047,balanced,,linear,,svc,0.9420415737447336,0.9542318819078703,0.38489026181743263,COMPLETE
60,0.8136363636358636,2025-12-18 14:42:48.062210,2025-12-18 14:42:55.245524,0 days 00:00:07.183314,0.050564327986064764,balanced,0.30743297699034833,rbf,,svc,0.8866067194698088,0.8917828796083377,0.529091717913524,COMPLETE
61,0.9227272727267728,2025-12-18 14:42:55.245742,2025-12-18 14:43:02.550221,0 days 00:00:07.304479,4.6965031107863355,balanced,0.5663444349724707,rbf,,svc,0.9569865807426706,0.9538424449224835,0.5689595278115825,COMPLETE
62,0.9185520361985949,2025-12-18 14:43:02.550497,2025-12-18 14:43:09.891911,0 days 00:00:07.341414,18.514232682068133,balanced,0.6773724063928351,rbf,,svc,0.9505329529674237,0.9506156813292782,0.5620131019361462,COMPLETE
63,0.9095022624429389,2025-12-18 14:43:09.892129,2025-12-18 14:43:17.954538,0 days 00:00:08.062409,5.049866147153414,balanced,2.398573581381721,rbf,,svc,0.9378737915093854,0.9390623840961353,0.42314236094774227,COMPLETE
64,0.914549653579177,2025-12-18 14:43:17.954942,2025-12-18 14:43:23.637315,0 days 00:00:05.682373,11.195670882109553,balanced,0.20503959310614095,rbf,,svc,0.9556559066042226,0.9559750760329352,0.6281579060614098,COMPLETE
65,0.8898678414091918,2025-12-18 14:43:23.637523,2025-12-18 14:43:31.682011,0 days 00:00:08.044488,2.1177373891596685,balanced,5.555747911728755,rbf,,svc,0.9233206972247038,0.9263036866701284,0.43647090947596495,COMPLETE
66,0.8747252747247751,2025-12-18 14:43:31.682230,2025-12-18 14:43:35.731745,0 days 00:00:04.049515,0.7088421020380583,balanced,0.03739379131400314,rbf,,svc,0.9214711919813163,0.9374675469178845,0.4492870623928945,COMPLETE
67,0.8868360277131261,2025-12-18 14:43:35.731960,2025-12-18 14:43:38.950038,0 days 00:00:03.218078,1.2847457458837128,balanced,0.14786826330500202,poly,,svc,0.9401822567281096,0.943383280172094,0.5700463225432745,COMPLETE
68,0.8050847457622138,2025-12-18 14:43:38.950249,2025-12-18 14:43:46.599375,0 days 00:00:07.649126,0.41812541624029514,balanced,0.00046226057762427977,rbf,,svc,0.8815712119842438,0.8842352199391738,0.36029264809874034,COMPLETE
69,0.9062499999995001,2025-12-18 14:43:46.599594,2025-12-18 14:43:50.223313,0 days 00:00:03.623719,33.04445717844868,,0.014182130655534359,rbf,,svc,0.946272478791504,0.9598138120317484,0.46180908516421987,COMPLETE
70,0.89086859688146,2025-12-18 14:43:50.223526,2025-12-18 14:43:53.330694,0 days 00:00:03.107168,3.1357785234350173,balanced,,linear,,svc,0.9405358930146629,0.9521919738891774,0.4007376445888224,COMPLETE
