number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
21,0.4322549734617008,2025-12-22 04:24:16.035471,2025-12-22 04:24:16.675179,0 days 00:00:00.639708,0.025216496873774193,0.5989515736237057,77,1.0327002736511977,0.006274046856113227,0.03344924659222576,13,317.55775341895105,350,0.8481418707794897,0.7304633855819702,0.1213226318359375,1.0505616664886475,0.4322549734617008,COMPLETE
22,0.40011123713389113,2025-12-22 04:24:16.675305,2025-12-22 04:24:16.915393,0 days 00:00:00.240088,0.10819688106483563,0.6966167574072555,53,1.670248819917075,0.15380006790348758,0.10258881724432632,12,44.425402813140344,644,0.7972343405212186,0.7606739401817322,0.016282081604003906,1.1115837097167969,0.40011123713389113,COMPLETE
23,0.4554376705043656,2025-12-22 04:24:16.915624,2025-12-22 04:24:19.349796,0 days 00:00:02.434172,0.0005287722331404684,0.4955970594718685,91,0.621471853529828,4.062914512327901,0.006211216125566123,14,0.20502131267225215,257,0.8464525088114627,0.7153950929641724,0.14730137586593628,1.0349148511886597,0.4554376705043656,COMPLETE
24,0.46303127221946144,2025-12-22 04:24:19.349971,2025-12-22 04:24:21.109204,0 days 00:00:01.759233,0.00020565668551296852,0.4659130736102153,95,0.4868242940288181,6.868054695737132,0.00602421747070527,15,0.19052383161851433,157,0.8596126069467276,0.7357560992240906,0.12033253908157349,1.0511534214019775,0.46303127221946144,COMPLETE
25,0.4277158460375739,2025-12-22 04:24:21.109362,2025-12-22 04:24:24.933643,0 days 00:00:03.824281,5.408574619595145e-07,0.44447495466419673,93,0.009761856931297719,1.2266006713719475,0.006025282189576518,15,0.2853204038202262,199,0.8801784676780348,0.7329394817352295,0.13064336776733398,1.04497492313385,0.4277158460375739,COMPLETE
26,0.4563741795201817,2025-12-22 04:24:24.933811,2025-12-22 04:24:29.675381,0 days 00:00:04.741570,0.0002137102574930777,0.3917860422598438,114,0.6196589843219895,5.985242836408866,0.0030285329479367864,14,0.03023409606782771,487,0.9450329254698695,0.7180869579315186,0.13865774869918823,1.040147066116333,0.4563741795201817,COMPLETE
27,0.45259420788276145,2025-12-22 04:24:29.675565,2025-12-22 04:24:33.030486,0 days 00:00:03.354921,4.097606639041089e-05,0.3876766289798749,167,2.6124472540772254,12.346536824824309,0.0023819987279419365,16,0.00702274545989363,485,0.9494452237683756,0.7325987815856934,0.12067580223083496,1.0509482622146606,0.45259420788276145,COMPLETE
28,0.3776969539591256,2025-12-22 04:24:33.030673,2025-12-22 04:24:35.017142,0 days 00:00:01.986469,1.5989773296821315e-08,0.38091434468004665,117,3.9292668397619286,0.0016865434899483401,0.002826520445688703,14,0.03595331994446685,755,0.5480632123235721,0.7655571103096008,0.08890211582183838,1.0697674751281738,0.3776969539591256,COMPLETE
29,0.40573263381168334,2025-12-22 04:24:35.017298,2025-12-22 04:24:39.757088,0 days 00:00:04.739790,0.00014564714181829945,0.3400983606418672,137,0.7056231613136372,0.0666148476597582,0.001031985320905271,14,0.007872357846133686,417,0.940315875564055,0.7737250924110413,0.09205549955368042,1.0679144859313965,0.40573263381168334,COMPLETE
30,0.40784472021138213,2025-12-22 04:24:39.757298,2025-12-22 04:24:41.289285,0 days 00:00:01.531987,0.006973035174457555,0.41483720448923683,163,1.4191093544627216,0.21552568342626072,0.012532093366384885,15,0.056347520045849565,213,0.9779288599484472,0.7618223428726196,0.04465895891189575,1.0954335927963257,0.40784472021138213,COMPLETE
31,0.4581604106193875,2025-12-22 04:24:41.289470,2025-12-22 04:24:43.890068,0 days 00:00:02.600598,0.00034518240087430774,0.4951536467601273,89,0.6851248138809645,5.693165002088201,0.006111833265622571,14,0.21690081777792827,284,0.8807676444663397,0.7138985395431519,0.14813297986984253,1.0344101190567017,0.4581604106193875,COMPLETE
32,0.4634653401511181,2025-12-22 04:24:43.890352,2025-12-22 04:24:44.812207,0 days 00:00:00.921855,0.00019036656997092224,0.4972914678869027,107,0.748746220921184,9.374510205988994,0.00488771508247238,16,0.6909747308893663,81,0.8800818853997321,0.7847297787666321,0.0544281005859375,1.0898183584213257,0.4634653401511181,COMPLETE
33,0.4356348648327716,2025-12-22 04:24:44.812363,2025-12-22 04:24:45.255380,0 days 00:00:00.443017,0.004045933679547833,0.5925541624874674,105,2.6334969547355445,23.019319220534157,0.004901203208505421,16,0.7668756863881628,62,0.8859299567448039,0.8025788068771362,0.02659529447555542,1.1057413816452026,0.4356348648327716,COMPLETE
34,0.39910343227878536,2025-12-22 04:24:45.255508,2025-12-22 04:24:46.032123,0 days 00:00:00.776615,7.63621305168736e-06,0.4993609748306443,84,7.618031114575574,2.9344793132118467,0.006306845218348956,15,1.8799482555702272,188,0.8063741117917276,0.7447567582130432,0.10989797115325928,1.057369351387024,0.39910343227878536,COMPLETE
35,0.4017819383165247,2025-12-22 04:24:46.032255,2025-12-22 04:24:48.883555,0 days 00:00:02.851300,2.699943447030918e-06,0.5516428064153841,131,0.5415160708650374,8.622947091607351e-10,0.004130703410637738,13,0.5663096107930785,354,0.7393881954743299,0.7597558498382568,0.0810733437538147,1.0743536949157715,0.4017819383165247,COMPLETE
36,0.39082577752508957,2025-12-22 04:24:48.883748,2025-12-22 04:24:49.222264,0 days 00:00:00.338516,0.0012157291388295351,0.5065077274381018,66,1.3770488397301575,0.39764773647138435,0.022877001106558745,11,0.2279879959105015,50,0.6604059100948052,0.7552692890167236,0.09976238012313843,1.0633724927902222,0.39082577752508957,COMPLETE
37,0.3980148039486385,2025-12-22 04:24:49.222402,2025-12-22 04:24:49.845422,0 days 00:00:00.623020,0.010584138929722755,0.6155666327308013,89,5.56087881635643,0.045354284985791395,0.01277629816986214,12,2.6035529729377025,583,0.7608832774886385,0.7579118013381958,0.07985121011734009,1.0750678777694702,0.3980148039486385,COMPLETE
38,0.4030596284085609,2025-12-22 04:24:49.845551,2025-12-22 04:24:51.340261,0 days 00:00:01.494710,0.26783837718358217,0.5536455062015608,123,1.8051350211127732,1.920513214344156e-05,0.008531943697747775,16,0.17021508305524918,169,0.9113911533072169,0.7496117353439331,0.09593212604522705,1.0656323432922363,0.4030596284085609,COMPLETE
39,0.3728034038905709,2025-12-22 04:24:51.340440,2025-12-22 04:24:51.884120,0 days 00:00:00.543680,9.922944146080123e-05,0.46817490016512125,108,4.1712931358267245,19.65302710280561,0.0022136036879375053,5,0.7257825925736988,323,0.7838835669110741,0.7831129431724548,0.06291019916534424,1.0849193334579468,0.3728034038905709,COMPLETE
40,0.39165344723667733,2025-12-22 04:24:51.884274,2025-12-22 04:24:54.178587,0 days 00:00:02.294313,6.212441315055142e-08,0.5689827074404943,22,9.567781039052585,2.2663522670657423e-07,0.001614034737407561,15,6.224927245800845,716,0.8703431635892164,0.7526738047599792,0.11026471853256226,1.0571515560150146,0.39165344723667733,COMPLETE
41,0.4607438259975542,2025-12-22 04:24:54.178787,2025-12-22 04:24:59.159876,0 days 00:00:04.981089,9.880278505099016e-05,0.41922817192314554,111,0.4603240911205784,6.30236627466076,0.00330270940290657,14,0.03092030322194826,490,0.9135097210864276,0.7152261137962341,0.14127951860427856,1.0385627746582031,0.4607438259975542,COMPLETE
42,0.42752430922142054,2025-12-22 04:24:59.160148,2025-12-22 04:25:03.096524,0 days 00:00:03.936376,3.36777243729816e-05,0.4232043809014833,41,0.3159207182501234,0.8227441315497186,0.0038518693008642076,13,0.007311651946052095,445,0.9116449462106676,0.7313053011894226,0.13036948442459106,1.0451394319534302,0.42752430922142054,COMPLETE
