number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_huber_delta,params_kernel,params_layers,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
57,0.5326318950680933,2025-12-21 11:32:06.771916,2025-12-21 11:44:16.565530,0 days 00:12:09.793614,16,512,0.35441691071026427,1.4482878566845012,7,2,huber,0.00011881552273035029,4.997621043229684e-07,0.70489901304245,0.016679465770721436,1.1113591194152832,0.527001285405365,COMPLETE
58,0.37963477803355344,2025-12-21 11:44:16.565768,2025-12-21 11:45:53.066958,0 days 00:01:36.501190,16,256,0.2665195666733736,0.8205325837023439,7,2,huber,8.431646403296731e-05,0.0035210875909779385,0.8450670838356018,-0.18499267101287842,1.2200136184692383,0.37963477803355344,PRUNED
59,0.29380413150457746,2025-12-21 11:45:53.067140,2025-12-21 11:46:15.986849,0 days 00:00:22.919709,32,256,0.32248503150182956,,3,1,mse,0.00024186387688468518,2.0893715570523135e-06,0.8085893988609314,0.03309744596481323,1.1020420789718628,0.29380413150457746,PRUNED
60,0.47705683925816494,2025-12-21 11:46:15.987023,2025-12-21 11:54:46.537185,0 days 00:08:30.550162,16,128,0.27361316300380834,0.572402656209032,5,2,huber,0.0008001745797693882,0.0006859182585863964,0.7008175849914551,0.07602715492248535,1.0772994756698608,0.47705683925816494,PRUNED
61,0.3571034203477547,2025-12-21 11:54:46.537368,2025-12-21 11:55:36.654927,0 days 00:00:50.117559,16,256,0.23146148037975856,2.5993224816815372,7,3,huber,0.00018334468094513044,0.0006186860778777201,0.7595810294151306,0.048012495040893555,1.093509316444397,0.3571034203477547,PRUNED
62,0.3238983556250105,2025-12-21 11:55:36.655105,2025-12-21 11:55:59.703043,0 days 00:00:23.047938,16,256,0.2999946276048264,2.9630287683215473,7,3,huber,0.0002989449586937299,0.0011719990780960626,0.8992156982421875,-0.05291903018951416,1.150017261505127,0.3238983556250105,PRUNED
63,0.3290562553677797,2025-12-21 11:55:59.703216,2025-12-21 11:56:24.642319,0 days 00:00:24.939103,16,256,0.023940683961148762,1.720844519195537,7,2,huber,0.0005798987237196864,2.0028656163242664e-07,0.8194741010665894,-0.11152684688568115,1.1815900802612305,0.3290562553677797,PRUNED
64,0.370315743041672,2025-12-21 11:56:24.642501,2025-12-21 11:57:38.155455,0 days 00:01:13.512954,16,256,0.3337997098687136,0.756205451933532,7,3,huber,0.0004783260040278318,0.0001739133202887094,0.762001097202301,-0.026087641716003418,1.1352697610855103,0.370315743041672,PRUNED
65,0.31488843871877076,2025-12-21 11:57:38.155627,2025-12-21 11:58:03.381350,0 days 00:00:25.225723,16,256,0.057343027652017375,1.1785885437793562,7,3,huber,0.0029817920211920707,7.547142240111041e-06,0.775534451007843,0.047070443630218506,1.0940501689910889,0.31488843871877076,PRUNED
66,0.34775362256281384,2025-12-21 11:58:03.381530,2025-12-21 11:58:51.798837,0 days 00:00:48.417307,16,256,0.022136608487450287,0.9753879446508538,7,2,huber,0.0002584852844046864,8.340966151978166e-05,0.7900177240371704,-0.09240460395812988,1.171382188796997,0.34775362256281384,PRUNED
