number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
55,0.39603309887035243,2025-12-23 09:07:09.457297,2025-12-23 09:07:52.924434,0 days 00:00:43.467137,16,0.18971936875801843,0.2112329225090743,512,4.229819597541966e-05,4,4,4.752619079513349e-07,PRUNED
56,0.029893470545273238,2025-12-23 09:07:52.924628,2025-12-23 09:08:48.775521,0 days 00:00:55.850893,128,0.29808768180142253,0.10026681316556986,384,2.9995233169974228e-05,4,3,1.0341360468359606e-07,PRUNED
57,0.5322622810042301,2025-12-23 09:08:48.775722,2025-12-23 09:10:56.357874,0 days 00:02:07.582152,16,0.3583743028141061,0.08169332187199199,768,6.209332521244152e-05,4,3,2.016950791467819e-07,PRUNED
58,0.36447041936301317,2025-12-23 09:10:56.358055,2025-12-23 09:11:41.171925,0 days 00:00:44.813870,32,0.4267630273013523,0.23328881276600982,256,0.00023131923687794696,8,4,2.7964820262087225e-08,PRUNED
59,0.3814137150933507,2025-12-23 09:11:41.172110,2025-12-23 09:12:25.040937,0 days 00:00:43.868827,16,0.2566727184270245,0.31122501165613675,384,0.00018425473260919197,4,3,6.0699016612314264e-06,PRUNED
60,0.4028018376555033,2025-12-23 09:12:25.041119,2025-12-23 09:13:13.350132,0 days 00:00:48.309013,64,0.21292495480418716,0.3437047657248054,768,0.00011978432344067527,4,2,3.5938403197234965e-05,PRUNED
61,0.37734502637505085,2025-12-23 09:13:13.350321,2025-12-23 09:13:57.786364,0 days 00:00:44.436043,16,1.109680283748956,0.2839748301261806,256,8.999605189074911e-05,4,3,0.00039183739475469087,PRUNED
62,0.4205814001368899,2025-12-23 09:13:57.786549,2025-12-23 09:14:41.347581,0 days 00:00:43.561032,16,1.4977887259137053,0.21956971929348573,256,0.00015370354415266812,4,3,0.0001004356154699624,PRUNED
63,0.412346239160275,2025-12-23 09:14:41.347765,2025-12-23 09:15:25.217821,0 days 00:00:43.870056,16,0.7702192671895326,0.26135845741667735,256,5.698914323502766e-05,4,3,2.2900173569455684e-05,PRUNED
64,0.41782708103260224,2025-12-23 09:15:25.218021,2025-12-23 09:16:08.691074,0 days 00:00:43.473053,16,0.5211668297701796,0.2861681005066696,256,4.454683282399837e-05,4,3,0.003521302412913462,PRUNED
65,0.049639458361822784,2025-12-23 09:16:08.691269,2025-12-23 09:17:06.018140,0 days 00:00:57.326871,128,1.2314698298583646,0.31800547665681467,256,6.691025164397627e-05,8,4,0.0009329840155886972,PRUNED
66,0.4217620826098998,2025-12-23 09:17:06.018325,2025-12-23 09:17:50.784039,0 days 00:00:44.765714,16,0.9143882270160195,0.24489419604781004,512,0.00021819081966653473,4,3,0.00034028817346905385,PRUNED
67,0.3979707351429729,2025-12-23 09:17:50.784234,2025-12-23 09:19:15.059429,0 days 00:01:24.275195,16,1.7195251435049603,0.004055768282848121,384,0.0002933872917935652,4,4,0.0025693584348003328,PRUNED
