number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
42,0.28023488569627836,2025-12-23 03:57:15.630112,2025-12-23 03:57:16.357501,0 days 00:00:00.727389,32,0.2673938078854136,0.2263971805598009,512,2.2442753481139586e-05,8,3,1.6536550277303724e-08,PRUNED
43,0.35686276655669436,2025-12-23 03:57:16.357647,2025-12-23 03:57:17.073772,0 days 00:00:00.716125,32,0.3622840113408362,0.2540834197796607,512,4.774468814244549e-05,8,3,1.415822988546402e-07,PRUNED
44,0.062463000271945394,2025-12-23 03:57:17.073936,2025-12-23 03:57:17.786641,0 days 00:00:00.712705,32,0.46541998754880165,0.15250077871284434,512,1.0104415857352182e-05,8,3,1.3394424077350205e-09,PRUNED
45,0.3814502293404718,2025-12-23 03:57:17.786779,2025-12-23 03:57:18.805999,0 days 00:00:01.019220,32,0.18493767417461462,0.19925459077119484,768,7.902759820016845e-05,8,4,4.540089072144353e-08,PRUNED
46,0.46456844043180706,2025-12-23 03:57:18.806145,2025-12-23 03:57:19.824477,0 days 00:00:01.018332,64,0.23910769067636087,0.3184202438107058,256,0.0003122617606686395,8,2,0.0009773271784684543,PRUNED
47,0.5124175169213707,2025-12-23 03:57:19.824632,2025-12-23 03:57:22.091139,0 days 00:00:02.266507,32,0.40765818053804814,0.036240606654845374,512,6.361728437368324e-05,8,4,2.719251768390539e-06,PRUNED
48,0.38155004950447174,2025-12-23 03:57:22.091298,2025-12-23 03:57:23.197659,0 days 00:00:01.106361,16,0.13687405872994815,0.08127903889548464,768,0.00015931536496936212,4,3,3.1746258467266095e-10,PRUNED
49,-0.09997514876490479,2025-12-23 03:57:23.197814,2025-12-23 03:57:23.688014,0 days 00:00:00.490200,128,0.2896345879687823,0.12331562623991918,256,1.9020143182437844e-05,8,1,0.00020671781295669063,PRUNED
50,0.17266496482217744,2025-12-23 03:57:23.688170,2025-12-23 03:57:24.507981,0 days 00:00:00.819811,32,0.5833035396515241,0.24101431137588014,768,0.0005632081269066855,8,3,6.720776087114164e-05,PRUNED
51,0.2865888303446809,2025-12-23 03:57:24.508137,2025-12-23 03:57:25.166986,0 days 00:00:00.658849,32,1.2898657460686023,0.3211160545125596,256,5.8046727341956005e-05,8,3,1.8189772456919265e-05,PRUNED
