number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
67,0.5660286154429865,2025-12-23 03:55:44.011326,2025-12-23 03:55:59.161453,0 days 00:00:15.150127,16,0.14059010244999418,0.15816015059605537,512,0.00019738524798880617,8,3,2.623049497457841e-05,COMPLETE
68,0.4394662177495936,2025-12-23 03:55:59.161745,2025-12-23 03:56:01.138294,0 days 00:00:01.976549,16,0.22620174423351572,0.11907777522144321,512,0.00036723352890130823,8,3,2.7361103304077696e-05,PRUNED
69,0.45666998974912554,2025-12-23 03:56:01.138450,2025-12-23 03:56:02.722159,0 days 00:00:01.583709,16,0.13683793530783028,0.15880708162487983,512,0.00021178764196664736,8,2,1.6626729583684751e-06,PRUNED
70,0.3735422968985448,2025-12-23 03:56:02.722310,2025-12-23 03:56:03.715821,0 days 00:00:00.993511,16,0.19810523111318099,0.1454951094726566,512,0.00029172402405294555,8,3,0.0003465969184054049,PRUNED
71,0.4163006814205846,2025-12-23 03:56:03.715988,2025-12-23 03:56:04.780495,0 days 00:00:01.064507,16,0.1228060218828385,0.17985848539838084,512,0.00012045825754084952,8,3,0.00012077060989907804,PRUNED
72,0.2890610131724369,2025-12-23 03:56:04.780659,2025-12-23 03:56:05.351839,0 days 00:00:00.571180,64,0.11499523929109828,0.09043971895054899,256,0.00015682751372978206,8,3,2.8773525045637966e-05,PRUNED
73,0.38533855723688293,2025-12-23 03:56:05.351983,2025-12-23 03:56:06.458516,0 days 00:00:01.106533,16,0.15203975839181197,0.19634021731773565,768,0.00019488978027036152,8,3,3.934466086360048e-06,PRUNED
74,0.33146682857471316,2025-12-23 03:56:06.458665,2025-12-23 03:56:07.187589,0 days 00:00:00.728924,32,0.1401618971545536,0.2349523917672505,512,4.594656497039774e-05,4,3,7.991746641091522e-06,PRUNED
75,0.4183774521929472,2025-12-23 03:56:07.187740,2025-12-23 03:56:08.442986,0 days 00:00:01.255246,16,1.764772319578234,0.21722261110247565,768,0.00010636953258926029,8,2,0.000663672010651949,PRUNED
76,0.407418905539799,2025-12-23 03:56:08.443166,2025-12-23 03:56:09.214813,0 days 00:00:00.771647,32,0.10664594203851072,0.10027610102217158,512,7.238745586738285e-05,4,4,6.722859966456842e-09,PRUNED
77,0.554703955158605,2025-12-23 03:56:09.214967,2025-12-23 03:56:28.854538,0 days 00:00:19.639571,16,0.16082872873435033,0.14160425017635134,768,0.00013590071707168162,4,3,0.0001994073673889134,COMPLETE
78,0.3635076418321853,2025-12-23 03:56:28.854800,2025-12-23 03:56:30.589847,0 days 00:00:01.735047,16,0.169535853009798,0.13532491623882117,768,0.00024684252920331907,8,3,0.0002083489649590773,PRUNED
79,0.5035213135162272,2025-12-23 03:56:30.590018,2025-12-23 03:56:34.288615,0 days 00:00:03.698597,16,0.18474754101136726,0.11679013945901412,512,0.0001397414383494184,4,3,6.163618566897722e-07,PRUNED
80,0.40727417635547075,2025-12-23 03:56:34.288782,2025-12-23 03:56:35.076125,0 days 00:00:00.787343,16,0.15603919031338068,0.14224394504575333,256,0.0024785719718337165,4,2,0.001564881492499492,PRUNED
81,0.5704012971179453,2025-12-23 03:56:35.076277,2025-12-23 03:56:59.827702,0 days 00:00:24.751425,16,0.1278591739909013,0.17533811687195416,768,0.0001730381005812531,4,3,8.736709570411299e-05,COMPLETE
82,0.3903314758868697,2025-12-23 03:56:59.827956,2025-12-23 03:57:00.978604,0 days 00:00:01.150648,16,0.12851745257726166,0.15812522485261793,768,0.00018295523118900514,4,3,6.454553654612558e-05,PRUNED
83,0.41863003539526444,2025-12-23 03:57:00.978758,2025-12-23 03:57:02.949574,0 days 00:00:01.970816,16,0.14433859867074822,0.17502522021571273,768,0.00021481068094601974,4,3,9.894847121431312e-05,PRUNED
84,0.4892635637979685,2025-12-23 03:57:02.949725,2025-12-23 03:57:06.174858,0 days 00:00:03.225133,16,0.2132471141919256,0.07678444658100214,768,0.00014582520604541343,4,3,0.0001727419932889648,PRUNED
85,0.5023527861751934,2025-12-23 03:57:06.175006,2025-12-23 03:57:14.398823,0 days 00:00:08.223817,16,0.12694659651953133,0.0447791130067723,768,0.00016847909537776948,4,3,2.2539583455372014e-05,PRUNED
