number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
20,0.7240592930439859,2025-12-16 01:44:29.216553,2025-12-16 01:46:33.758520,0 days 00:02:04.541967,16,384,0.4015635117510269,1536,2,0.0002947196497025846,4,3.3387762811809444e-06,0.9361732623572899,0.7240592930439859,0.7728150486946106,PRUNED
21,0.7247596153841246,2025-12-16 01:46:33.758701,2025-12-16 01:48:34.172099,0 days 00:02:00.413398,32,256,0.34041175411215824,1536,3,0.00022487628618562166,4,1.8829334340087133e-08,0.9374010441648242,0.7247596153841246,0.8316349983215332,PRUNED
22,0.7266187050354806,2025-12-16 01:48:34.172272,2025-12-16 01:54:32.660247,0 days 00:05:58.487975,32,256,0.48423424185765407,1536,4,3.501468203831461e-05,4,6.460944974723589e-08,0.936705633872752,0.7266187050354806,0.7360656261444092,PRUNED
23,0.728773584905172,2025-12-16 01:54:32.660432,2025-12-16 02:00:29.615089,0 days 00:05:56.954657,32,128,0.3194386421972944,1536,3,0.0006617097489732268,4,1.7097853599669162e-07,0.9334144005471143,0.728773584905172,0.7276864051818848,PRUNED
24,0.7214111922136198,2025-12-16 02:00:29.615260,2025-12-16 02:02:33.005519,0 days 00:02:03.390259,32,384,0.41952917844887816,1536,2,9.248608320123424e-05,4,1.2166869253798512e-08,0.9355113812327779,0.7214111922136198,0.7059994339942932,PRUNED
25,0.7270588235289236,2025-12-16 02:02:33.005694,2025-12-16 02:08:31.697559,0 days 00:05:58.691865,32,256,0.24655102221049024,1536,3,0.00018792383538133263,4,3.7466511071546994e-08,0.9373388488387391,0.7270588235289236,0.6372160911560059,PRUNED
26,0.7267119062302281,2025-12-16 02:08:31.697736,2025-12-16 02:14:35.094920,0 days 00:06:03.397184,32,384,0.3707026785383826,256,2,3.910595889056564e-05,4,2.1217819881609717e-05,0.9374059071738597,0.7267119062302281,0.7292367815971375,PRUNED
27,0.722318840579224,2025-12-16 02:14:35.095097,2025-12-16 02:16:34.042249,0 days 00:01:58.947152,32,384,0.09649007712082594,1024,1,0.00010794599734056152,8,1.8418992690586546e-06,0.9352938255654015,0.722318840579224,0.6878535747528076,PRUNED
28,0.34608904933786055,2025-12-16 02:16:34.042424,2025-12-16 02:18:35.768826,0 days 00:02:01.726402,16,128,0.26465340508778884,1536,4,0.001205706458940715,4,3.219029751400506e-07,0.5,0.34608904933786055,0.5525315999984741,PRUNED
29,0.721497447532132,2025-12-16 02:18:35.769006,2025-12-16 02:20:35.871448,0 days 00:02:00.102442,64,256,0.4544248479594992,256,4,0.0001448302148265786,8,6.725207443113515e-07,0.9353260749937421,0.721497447532132,0.5664372444152832,PRUNED
30,0.743589743589251,2025-12-16 02:20:35.871620,2025-12-16 02:51:28.857502,0 days 00:30:52.985882,16,384,0.16698447906986513,256,2,0.0002196640292450867,4,1.5742207714065975e-07,0.9355492615136858,0.7302353651171912,0.6915063858032227,COMPLETE
31,0.728961114334975,2025-12-16 02:51:28.857763,2025-12-16 02:57:46.360802,0 days 00:06:17.503039,16,384,0.15795809130814364,256,2,0.00023506038781012818,4,1.4096535440320519e-07,0.9371228288584266,0.728961114334975,0.7514243125915527,PRUNED
32,0.7247547605303857,2025-12-16 02:57:46.360991,2025-12-16 02:59:52.344739,0 days 00:02:05.983748,16,384,0.2007969830998373,256,3,0.00013513368351616758,4,2.938754824216152e-08,0.9358441134299418,0.7247547605303857,0.6682173013687134,PRUNED
33,0.7235534774980515,2025-12-16 02:59:52.344918,2025-12-16 03:01:54.301089,0 days 00:02:01.956171,16,384,0.0834392764309717,256,2,0.0004043162632741774,4,1.0652702414368058e-07,0.9358558870307644,0.7235534774980515,0.7283723950386047,PRUNED
34,0.7259786476863435,2025-12-16 03:01:54.301261,2025-12-16 03:05:59.698391,0 days 00:04:05.397130,16,384,0.15247768495549158,512,1,7.875459954942334e-05,4,1.0637727254567804e-08,0.9366861818366101,0.7259786476863435,0.7754789590835571,PRUNED
35,0.7271589486853623,2025-12-16 03:05:59.698561,2025-12-16 03:12:12.491257,0 days 00:06:12.792696,16,128,0.32786667382988577,256,2,0.00018812823505499695,4,2.720438097846194e-07,0.9378566313270947,0.7271589486853623,0.7330580949783325,PRUNED
36,0.7064116985372011,2025-12-16 03:12:12.491434,2025-12-16 03:14:18.558447,0 days 00:02:06.067013,16,256,0.4514016509269253,1024,3,0.0005237190598050853,4,2.9587074753000633e-08,0.9315398385378622,0.7064116985372011,0.9140375256538391,PRUNED
37,0.7222541690621946,2025-12-16 03:14:18.558620,2025-12-16 03:16:18.467085,0 days 00:01:59.908465,32,384,0.06958160327490015,512,2,0.00012077290825195299,8,2.2201617322030127e-06,0.9364471265503401,0.7222541690621946,0.7134158611297607,PRUNED
38,0.7197191339960017,2025-12-16 03:16:18.467258,2025-12-16 03:18:21.343351,0 days 00:02:02.876093,64,256,0.39511221859726153,1536,1,3.5471466871553875e-05,4,6.868282513668289e-07,0.9332633913191706,0.7197191339960017,0.7720514535903931,PRUNED
39,0.7205601527684405,2025-12-16 03:18:21.343524,2025-12-16 03:20:25.690017,0 days 00:02:04.346493,16,384,0.2277616447194679,256,2,0.00030673158302233356,4,4.363995159632008e-06,0.9338185421927462,0.7205601527684405,0.731671154499054,PRUNED
40,0.7167277167272241,2025-12-16 03:20:25.690195,2025-12-16 03:22:27.439196,0 days 00:02:01.749001,32,128,0.12783632246344706,512,1,0.0008147329142209536,8,2.7201932928757155e-05,0.9354335730882103,0.7167277167272241,0.6901469826698303,PRUNED
41,0.7203736135430039,2025-12-16 03:22:27.439366,2025-12-16 03:24:26.662792,0 days 00:01:59.223426,64,256,0.35495979924200366,512,2,2.316780621443392e-05,8,8.458847372191876e-07,0.9322234752291116,0.7203736135430039,0.7092344760894775,PRUNED
42,0.7135896047640073,2025-12-16 03:24:26.662969,2025-12-16 03:26:28.791431,0 days 00:02:02.128462,64,256,0.38605562244310593,512,3,2.4996917598784485e-05,8,4.1729657939244285e-07,0.9322905335642324,0.7135896047640073,0.6770074367523193,PRUNED
43,0.7119628339135671,2025-12-16 03:26:28.791602,2025-12-16 03:28:31.526066,0 days 00:02:02.734464,64,256,0.30326937489354044,512,2,1.3402745832518248e-05,8,7.175505174276479e-08,0.9314615184976066,0.7119628339135671,0.6717454791069031,PRUNED
44,0.7203736135430039,2025-12-16 03:28:31.526244,2025-12-16 03:30:33.767166,0 days 00:02:02.240922,64,256,0.19390577011011528,512,3,4.6618295738133553e-05,8,0.005412552694706956,0.9349042729468758,0.7203736135430039,0.6938508152961731,PRUNED
45,0.722933643771341,2025-12-16 03:30:33.767337,2025-12-16 03:32:34.906669,0 days 00:02:01.139332,64,256,0.27221548003254004,1536,2,7.4391354787399e-05,4,4.694138727069773e-07,0.9351855596274015,0.722933643771341,0.731246829032898,PRUNED
46,0.7212741751986065,2025-12-16 03:32:34.906841,2025-12-16 03:34:38.318857,0 days 00:02:03.412016,16,384,0.3422977169972004,256,2,1.7297324101271923e-05,8,1.6271312664873129e-06,0.9334653341680645,0.7212741751986065,0.6858807802200317,PRUNED
47,0.7073707370732292,2025-12-16 03:34:38.319036,2025-12-16 03:36:40.213150,0 days 00:02:01.894114,32,256,0.4231072220125064,1536,1,1.017291265482649e-05,4,2.1650864570985943e-07,0.9306734550860165,0.7073707370732292,0.6985463500022888,PRUNED
48,0.724035608308116,2025-12-16 03:36:40.213320,2025-12-16 03:38:40.668474,0 days 00:02:00.455154,64,384,0.17084157775906272,256,3,0.00015685907798574197,4,8.251715762401779e-08,0.934912975173571,0.724035608308116,0.6985123753547668,PRUNED
49,0.7238979118324602,2025-12-16 03:38:40.668642,2025-12-16 03:40:45.125627,0 days 00:02:04.456985,16,384,0.29363369614952495,1024,1,2.9613225522367094e-05,4,4.602562466356136e-08,0.9344921969180808,0.7238979118324602,0.478799045085907,PRUNED
