task,repr,model,run,trial_index,f1,best_so_far,auc,ap,threshold,kind_hint
halflife,wt,transformer,transformer_wt_raw,31,0.6162534333460219,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,32,0.5782722389532353,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,33,0.4912662723287107,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,34,0.48894740493899713,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,35,0.6083834561294985,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,36,0.3168521261956781,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,37,0.5235245713600297,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,38,0.45953823486047046,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,39,0.4328487469087827,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,40,0.5324210673439256,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,41,0.5070057214376089,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,42,0.35004289967405905,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,43,0.5957230579985697,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,44,0.47117211422402666,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,45,0.5016623352965969,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,46,0.5796409306430655,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,47,0.4677503849994514,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,48,0.5399488716379914,0.6162534333460219,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,49,0.570402261736712,0.6162534333460219,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,0,0.3904681595338378,0.3904681595338378,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,1,0.3755976317667996,0.3904681595338378,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,2,0.16711855973120077,0.3904681595338378,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,3,0.4018444986015755,0.4018444986015755,NA,NA,NA,regression
