task,setting,mode,repr,model,run,trial_index,rho,best_so_far
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,134,0.4333273439416534,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,135,0.5671475102673719,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,136,0.4966189397608008,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,137,0.42475680693185597,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,138,0.15100144576024344,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,139,0.421303112153043,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,140,0.33056279974338626,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,141,0.5589924292118524,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,142,0.5054853092063805,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,143,0.37301640882195586,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,144,0.5613733177749989,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,145,0.5692095682355786,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,146,0.5077227488199615,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,147,0.3989834814178178,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,148,0.4935224609936511,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,149,0.4403134897853153,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,150,0.2663040236952499,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,151,0.11288141860906196,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,152,0.5118867392625401,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,153,0.4288120938451791,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,154,0.3829651808373829,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,155,0.570684263146164,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,156,0.5695619860701513,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,157,0.3239474371707466,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,158,0.5644820401664483,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,159,0.36138728209858473,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,160,0.4367221369603219,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,161,0.4752665553452528,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,162,0.3914326397669273,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,163,0.3754484227892727,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,164,0.41741112871517694,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,165,-0.02146355337145533,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,166,0.43686128409594427,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,167,0.3861510049710441,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,168,0.44267965290842565,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,169,0.35477707796103686,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,170,0.5091428437843454,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,171,0.5630725342825398,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,172,0.5058913342608601,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,173,0.5409287815558361,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,174,0.5226374686695981,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,175,0.38402243434110117,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,176,0.5670737176128088,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,177,0.34072418064023385,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,178,0.4386346241668132,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,179,0.44964346241045977,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,180,0.30420475844184564,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,181,0.5108850784313178,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,182,0.4490049739486681,0.5926316705468855
